Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Discriminator/Output Policy,Mean Episode Return,Validation Measures/euclidean_distance/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rvel,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rpos,_step,Metric for Sweep,Mean Episode Length,Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/dynamic_time_warping/qpos,_timestamp,Discriminator/Output Expert,Validation Measures/discrete_frechet_distance/qpos,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/site_rvel,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rpos,Agent Video
,2174.216275846,0.05826539546251297,12.25402545928955,,,,,,,,819200.0,,28.625579833984375,,,,,1765943990.0851765,0.05166534334421158,,,,,,
,2174.216839757,0.16223886609077454,12.479121208190918,,,,,,,,1638400.0,,29.433156967163086,,,,,1765943990.0870855,0.14351609349250793,,,,,,
,2174.217537235,0.25719693303108215,12.539298057556152,,,,,,,,2457600.0,,29.735557556152344,,,,,1765943990.0878305,0.23286175727844238,,,,,,
,2174.218244116,0.3320782482624054,12.667659759521484,,,,,,,,3276800.0,,30.130578994750977,,,,,1765943990.0885386,0.3147578537464142,,,,,,
,2174.218948703,0.3734445869922638,12.75688362121582,,,,,,,,4096000.0,,30.628520965576172,,,,,1765943990.0892434,0.37821704149246216,,,,,,
,2174.220180649,0.38140371441841125,12.89316177368164,,,,,,,,4915200.0,,31.204076766967773,,,,,1765943990.0899558,0.42101532220840454,,,,,,
,2174.221371664,0.3733706474304199,12.92155933380127,,,,,,,,5734400.0,,31.54939842224121,,,,,1765943990.090789,0.4540557861328125,,,,,,
,2174.221969804,0.3621583580970764,13.044578552246094,,,,,,,,6553600.0,,32.03820037841797,,,,,1765943990.0922112,0.4840250313282013,,,,,,
,2174.222702814,0.34883934259414673,13.241728782653809,,,,,,,,7372800.0,,32.6351203918457,,,,,1765943990.0929556,0.5127933025360107,,,,,,
,2174.223448894,0.3343525528907776,13.337209701538086,,,,,,,,8192000.0,,33.336952209472656,,,,,1765943990.0937057,0.5400574803352356,,,,,,
,2174.224369555,0.3202783465385437,13.375375747680664,,,,,,,,9011200.0,,33.41074752807617,,,,,1765943990.0944407,0.5683723092079163,,,,,,
,2174.225146817,0.30619028210639954,13.435893058776855,,,,,,,,9830400.0,,33.955692291259766,,,,,1765943990.0952024,0.59690260887146,,,,,,
,2174.225844738,0.2898840606212616,13.60449504852295,,,,,,,,10649600.0,,34.662635803222656,,,,,1765943990.0960739,0.6232138872146606,,,,,,
,2174.226589943,0.27550995349884033,13.73450756072998,,,,,,,,11468800.0,,35.1221809387207,,,,,1765943990.096821,0.6496070027351379,,,,,,
,2174.227331581,0.26027923822402954,13.889966011047363,,,,,,,,12288000.0,,35.94253158569336,,,,,1765943990.0975773,0.675267219543457,,,,,,
3.486614942550659,2174.231187862,0.24588076770305634,13.943541526794434,0.44981902837753296,13.761800765991211,1.5274430513381958,6.052610397338867,356.9507751464844,237.966796875,0.7990208268165588,13107200.0,4.650086879730225,36.3288688659668,32.873985290527344,24.780014038085938,111.54517364501953,35.43866729736328,1765943990.101516,0.6998922824859619,0.9742456674575806,13.325862884521484,2.7577409744262695,4.268989086151123,0.36490288376808167,
,2174.231930568,0.23127707839012146,14.082559585571289,,,,,,,,13926400.0,,36.93324661254883,,,,,1765943990.1021452,0.7227321267127991,,,,,,
,2174.232664678,0.21699398756027222,14.147892951965332,,,,,,,,14745600.0,,37.47716522216797,,,,,1765943990.1029158,0.7446487545967102,,,,,,
,2174.233406613,0.20348769426345825,14.273918151855469,,,,,,,,15564800.0,,37.89731979370117,,,,,1765943990.1036518,0.7632107138633728,,,,,,
,2174.234161305,0.19037199020385742,14.40381908416748,,,,,,,,16384000.0,,38.53767013549805,,,,,1765943990.1043797,0.7810156941413879,,,,,,
,2174.23491905,0.1804165542125702,14.511834144592285,,,,,,,,17203200.0,,39.04376220703125,,,,,1765943990.1051533,0.7940854430198669,,,,,,
,2174.235681352,0.17219939827919006,14.510764122009277,,,,,,,,18022400.0,,39.616058349609375,,,,,1765943990.105908,0.8056408762931824,,,,,,
,2174.236431652,0.16579879820346832,14.674591064453125,,,,,,,,18841600.0,,40.2382926940918,,,,,1765943990.1066577,0.8132650852203369,,,,,,
,2174.237192844,0.1597290337085724,14.843337059020996,,,,,,,,19660800.0,,40.87617874145508,,,,,1765943990.107406,0.8208975791931152,,,,,,
,2174.237933738,0.1493535339832306,14.908114433288574,,,,,,,,20480000.0,,41.24772644042969,,,,,1765943990.1081705,0.8315331339836121,,,,,,
,2174.238690312,0.14657042920589447,14.964177131652832,,,,,,,,21299200.0,,41.72265625,,,,,1765943990.1089165,0.8356212973594666,,,,,,
,2174.239445424,0.14086000621318817,15.00825023651123,,,,,,,,22118400.0,,42.045196533203125,,,,,1765943990.109671,0.8427996039390564,,,,,,
,2174.240184852,0.13511480391025543,15.085529327392578,,,,,,,,22937600.0,,42.63481140136719,,,,,1765943990.1104195,0.8491511940956116,,,,,,
,2174.240918501,0.12872713804244995,15.157308578491211,,,,,,,,23756800.0,,43.12721633911133,,,,,1765943990.1111643,0.855221688747406,,,,,,
,2174.241683961,0.12453567236661911,15.179048538208008,,,,,,,,24576000.0,,43.4594612121582,,,,,1765943990.1119022,0.8616902232170105,,,,,,
,2174.242445644,0.12091736495494843,15.461631774902344,,,,,,,,25395200.0,,44.35017776489258,,,,,1765943990.1126657,0.8654129505157471,,,,,,
3.6713969707489014,2174.246390314,0.11657112836837769,15.422820091247559,0.476235568523407,14.089252471923828,1.7314578294754028,6.010153770446777,352.786865234375,239.00564575195312,0.8398065567016602,26214400.0,4.8510518074035645,44.60658645629883,39.64102554321289,25.553226470947266,127.85247802734375,37.678829193115234,1765943990.116713,0.8703640699386597,0.97409987449646,14.368362426757812,2.7387068271636963,4.21087121963501,0.3808872103691101,
,2174.247155287,0.11334521323442459,15.461400985717773,,,,,,,,27033600.0,,44.96099853515625,,,,,1765943990.1173258,0.8744055032730103,,,,,,
,2174.247863391,0.10919366776943207,15.448572158813477,,,,,,,,27852800.0,,45.20775604248047,,,,,1765943990.1180904,0.878707766532898,,,,,,
,2174.248601624,0.10746385157108307,15.573596954345703,,,,,,,,28672000.0,,45.7437629699707,,,,,1765943990.1188393,0.8818087577819824,,,,,,
,2174.249400962,0.10360964387655258,15.785447120666504,,,,,,,,29491200.0,,46.59442138671875,,,,,1765943990.119585,0.8857612609863281,,,,,,
,2174.250119322,0.09972570091485977,15.766509056091309,,,,,,,,30310400.0,,46.597530364990234,,,,,1765943990.120342,0.8899251222610474,,,,,,
,2174.250875209,0.0985788106918335,15.786022186279297,,,,,,,,31129600.0,,46.91803741455078,,,,,1765943990.1211047,0.8928103446960449,,,,,,
,2174.251627429,0.09507449716329575,15.863560676574707,,,,,,,,31948800.0,,47.345062255859375,,,,,1765943990.1218638,0.8962826132774353,,,,,,
,2174.252426941,0.09293767809867859,15.983477592468262,,,,,,,,32768000.0,,48.02598190307617,,,,,1765943990.1226149,0.8977294564247131,,,,,,
,2174.253152143,0.09139504283666611,15.922500610351562,,,,,,,,33587200.0,,48.14270782470703,,,,,1765943990.1233668,0.9007720947265625,,,,,,
,2174.253900757,0.0897136852145195,16.02203369140625,,,,,,,,34406400.0,,48.478092193603516,,,,,1765943990.1241195,0.9033549427986145,,,,,,
,2174.25464052,0.08682429790496826,16.1107177734375,,,,,,,,35225600.0,,49.053035736083984,,,,,1765943990.124878,0.9057798385620117,,,,,,
,2174.255348271,0.08567211031913757,16.180042266845703,,,,,,,,36044800.0,,49.491302490234375,,,,,1765943990.125626,0.907343864440918,,,,,,
,2174.25604991,0.08338155597448349,16.3228816986084,,,,,,,,36864000.0,,49.936065673828125,,,,,1765943990.126351,0.9105590581893921,,,,,,
,2174.256745839,0.08190171420574188,16.375226974487305,,,,,,,,37683200.0,,50.48416519165039,,,,,1765943990.1270502,0.9119452238082886,,,,,,
,2174.257474235,0.08177338540554047,16.370529174804688,,,,,,,,38502400.0,,50.661746978759766,,,,,1765943990.127745,0.9123979210853577,,,,,,
3.7066545486450195,2174.261117082,0.07937333732843399,16.4683837890625,0.5090698003768921,14.116493225097656,1.9228729009628296,6.47766637802124,348.9402770996094,252.57940673828125,0.9201768040657043,39321600.0,5.2402873039245605,51.210060119628906,47.27333068847656,27.384822845458984,140.41758728027344,40.46675109863281,1765943990.1315618,0.9147456884384155,0.9989908337593079,15.60350513458252,2.9126179218292236,4.208131790161133,0.40479639172554016,
,2174.261820196,0.07735837250947952,16.537765502929688,,,,,,,,40140800.0,,51.50843811035156,,,,,1765943990.1321142,0.9169677495956421,,,,,,
,2174.262510671,0.07646147906780243,16.698463439941406,,,,,,,,40960000.0,,52.14205551147461,,,,,1765943990.132805,0.9189345836639404,,,,,,
,2174.263269691,0.07540863007307053,16.83134651184082,,,,,,,,41779200.0,,52.65861892700195,,,,,1765943990.1335049,0.9203715324401855,,,,,,
,2174.264044899,0.07513366639614105,16.80160140991211,,,,,,,,42598400.0,,52.61068344116211,,,,,1765943990.1342125,0.9203557372093201,,,,,,
,2174.264913424,0.0721239447593689,16.879222869873047,,,,,,,,43417600.0,,53.48381805419922,,,,,1765943990.1350024,0.9235952496528625,,,,,,
,2174.265759059,0.07224410027265549,16.942989349365234,,,,,,,,44236800.0,,53.6379508972168,,,,,1765943990.1358702,0.9237053990364075,,,,,,
,2174.266587516,0.07059472799301147,17.13298797607422,,,,,,,,45056000.0,,54.182029724121094,,,,,1765943990.136713,0.9256005883216858,,,,,,
,2174.267458216,0.0708826407790184,17.166919708251953,,,,,,,,45875200.0,,54.67030334472656,,,,,1765943990.137551,0.9262850880622864,,,,,,
,2174.268321332,0.06868084520101547,17.196462631225586,,,,,,,,46694400.0,,55.00127029418945,,,,,1765943990.1384108,0.9271396994590759,,,,,,
,2174.269186207,0.06671367585659027,17.223876953125,,,,,,,,47513600.0,,55.052764892578125,,,,,1765943990.1392825,0.9290017485618591,,,,,,
,2174.270032414,0.06688075512647629,17.3449649810791,,,,,,,,48332800.0,,56.001853942871094,,,,,1765943990.1401496,0.9300069808959961,,,,,,
,2174.270884801,0.06579726934432983,17.377391815185547,,,,,,,,49152000.0,,56.04454040527344,,,,,1765943990.1409976,0.9306031465530396,,,,,,
,2174.271728944,0.0650181844830513,17.568805694580078,,,,,,,,49971200.0,,56.814353942871094,,,,,1765943990.141849,0.9317542910575867,,,,,,
,2174.272582881,0.06494536995887756,17.668848037719727,,,,,,,,50790400.0,,57.10812759399414,,,,,1765943990.1427011,0.932960033416748,,,,,,
,2174.273426618,0.0629834458231926,17.620590209960938,,,,,,,,51609600.0,,57.24420166015625,,,,,1765943990.1435423,0.9337878227233887,,,,,,
3.5499179363250732,2174.277253365,0.0639214739203453,17.743709564208984,0.5166782140731812,14.569175720214844,1.8542817831039429,6.4321489334106445,350.1336364746094,248.6003875732422,0.8940122723579407,52428800.0,5.12874174118042,57.79302978515625,48.52112579345703,26.843700408935547,135.85142517089844,41.14481735229492,1765943990.147641,0.9336370825767517,1.0001753568649292,15.681449890136719,2.8710501194000244,4.1918110847473145,0.40340983867645264,
,2174.278031189,0.06189290061593056,17.854211807250977,,,,,,,,53248000.0,,58.401832580566406,,,,,1765943990.1482399,0.9350492358207703,,,,,,
,2174.27880019,0.06159346550703049,17.91605567932129,,,,,,,,54067200.0,,58.78269577026367,,,,,1765943990.1490183,0.9364916682243347,,,,,,
,2174.279545151,0.06079233065247536,17.944276809692383,,,,,,,,54886400.0,,58.98008728027344,,,,,1765943990.1497939,0.936785876750946,,,,,,
,2174.280304412,0.05978678911924362,18.041370391845703,,,,,,,,55705600.0,,59.251014709472656,,,,,1765943990.1505353,0.9380651712417603,,,,,,
,2174.280969234,0.05939944460988045,18.123615264892578,,,,,,,,56524800.0,,59.830787658691406,,,,,1765943990.1512544,0.9383001327514648,,,,,,
,2174.281710449,0.058296095579862595,18.114639282226562,,,,,,,,57344000.0,,59.53464126586914,,,,,1765943990.1519644,0.9395619034767151,,,,,,
,2174.282565016,0.05736379325389862,18.123201370239258,,,,,,,,58163200.0,,60.1420783996582,,,,,1765943990.15271,0.9411332607269287,,,,,,
,2174.283794376,0.057323914021253586,18.272233963012695,,,,,,,,58982400.0,,60.72907638549805,,,,,1765943990.1534462,0.9411287307739258,,,,,,
,2174.284915495,0.05588585138320923,18.398805618286133,,,,,,,,59801600.0,,60.924129486083984,,,,,1765943990.1546876,0.9418646097183228,,,,,,
