Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Validation Info/Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,_timestamp,_step,Validation Measures/discrete_frechet_distance/site_rpos,Mean Episode Return,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/site_rpos
,,,,,2130.971857209,28.616376876831055,,,,,,1764576635.2281752,819200.0,,12.249890327453613,,,,,,,
,,,,,2130.972583326,29.394678115844727,,,,,,1764576635.2295735,1638400.0,,12.508895874023438,,,,,,,
,,,,,2130.973181503,29.648048400878906,,,,,,1764576635.2302418,2457600.0,,12.63985538482666,,,,,,,
,,,,,2130.973859635,30.205907821655273,,,,,,1764576635.23084,3276800.0,,12.855903625488281,,,,,,,
,,,,,2130.974449159,30.626588821411133,,,,,,1764576635.231435,4096000.0,,13.026511192321777,,,,,,,
,,,,,2130.975096332,31.528976440429688,,,,,,1764576635.2322023,4915200.0,,13.299575805664062,,,,,,,
,,,,,2130.975757625,32.1234016418457,,,,,,1764576635.2328367,5734400.0,,13.411568641662598,,,,,,,
,,,,,2130.976211762,33.26878356933594,,,,,,1764576635.2334342,6553600.0,,13.779279708862305,,,,,,,
,,,,,2130.976726848,34.41030502319336,,,,,,1764576635.2339642,7372800.0,,14.119842529296875,,,,,,,
,,,,,2130.977277105,35.74031448364258,,,,,,1764576635.2344985,8192000.0,,14.484782218933105,,,,,,,
