Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/qpos,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/site_rvel,_timestamp,Mean Episode Return,Validation Measures/dynamic_time_warping/site_rpos,Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/qvel,_step,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/discrete_frechet_distance/qvel,Agent Video,Mean Episode Length,Validation Measures/euclidean_distance/site_rpos,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rpos,_runtime,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec
,,,,1765252472.8506646,12.251532554626465,,,,819200.0,,,,,28.628299713134766,,,,2197.865871821,,,,
,,,,1765252472.851848,12.485590934753418,,,,1638400.0,,,,,29.287534713745117,,,,2197.86645627,,,,
,,,,1765252472.8524501,12.622919082641602,,,,2457600.0,,,,,29.630470275878906,,,,2197.866997825,,,,
,,,,1765252472.8530035,12.877676010131836,,,,3276800.0,,,,,30.234384536743164,,,,2197.867530041,,,,
,,,,1765252472.853544,13.012953758239746,,,,4096000.0,,,,,30.59214210510254,,,,2197.868044784,,,,
,,,,1765252472.8540573,13.263459205627441,,,,4915200.0,,,,,31.445981979370117,,,,2197.868589639,,,,
,,,,1765252472.8545887,13.421224594116211,,,,5734400.0,,,,,32.18821716308594,,,,2197.86914131,,,,
,,,,1765252472.85515,13.732945442199707,,,,6553600.0,,,,,33.23466110229492,,,,2197.869692036,,,,
,,,,1765252472.8557,14.139225959777832,,,,7372800.0,,,,,34.476070404052734,,,,2197.8702297,,,,
,,,,1765252472.856233,14.49711799621582,,,,8192000.0,,,,,35.83964920043945,,,,2197.870769269,,,,
,,,,1765252472.856788,14.78528118133545,,,,9011200.0,,,,,36.84492492675781,,,,2197.871283764,,,,
,,,,1765252472.857298,15.060323715209961,,,,9830400.0,,,,,38.14019775390625,,,,2197.871779283,,,,
,,,,1765252472.8578057,15.46857738494873,,,,10649600.0,,,,,39.5962028503418,,,,2197.872296563,,,,
,,,,1765252472.858315,15.773632049560547,,,,11468800.0,,,,,40.58737564086914,,,,2197.872801327,,,,
,,,,1765252472.858822,16.08920669555664,,,,12288000.0,,,,,41.28825759887695,,,,2197.873320495,,,,
36.043514251708984,0.9566068649291992,16.311519622802734,5.621917724609375,1765252472.861405,16.450475692749023,23.4226016998291,40.07291793823242,327.0320739746094,13107200.0,3.9613420963287354,0.4587097465991974,12.676570892333984,,42.38541793823242,0.35731232166290283,223.27835083007812,0.800697922706604,2197.876311968,1.4261133670806885,2.6007072925567627,100.55982971191406,2.996129035949707
,,,,1765252472.8623426,16.747455596923828,,,,13926400.0,,,,,43.298824310302734,,,,2197.876810484,,,,
,,,,1765252472.8628361,17.136396408081055,,,,14745600.0,,,,,44.060699462890625,,,,2197.877278698,,,,
,,,,1765252472.8633142,17.427095413208008,,,,15564800.0,,,,,44.73462677001953,,,,2197.877822995,,,,
,,,,1765252472.863794,17.80252456665039,,,,16384000.0,,,,,45.43765640258789,,,,2197.87836571,,,,
,,,,1765252472.8643699,18.28241729736328,,,,17203200.0,,,,,46.115501403808594,,,,2197.878867811,,,,
,,,,1765252472.8648865,18.489139556884766,,,,18022400.0,,,,,46.516990661621094,,,,2197.87937956,,,,
,,,,1765252472.8654006,19.180519104003906,,,,18841600.0,,,,,47.496726989746094,,,,2197.879855948,,,,
,,,,1765252472.8658855,19.25682258605957,,,,19660800.0,,,,,47.34213638305664,,,,2197.880355897,,,,
,,,,1765252472.8663855,19.802080154418945,,,,20480000.0,,,,,48.056270599365234,,,,2197.880836533,,,,
,,,,1765252472.866865,20.27614974975586,,,,21299200.0,,,,,48.52574157714844,,,,2197.881306359,,,,
,,,,1765252472.8673406,20.64223289489746,,,,22118400.0,,,,,48.96379089355469,,,,2197.88181374,,,,
,,,,1765252472.8678408,21.014955520629883,,,,22937600.0,,,,,49.2380256652832,,,,2197.882285478,,,,
,,,,1765252472.8683164,21.626285552978516,,,,23756800.0,,,,,50.1520881652832,,,,2197.882824548,,,,
,,,,1765252472.8688374,21.916475296020508,,,,24576000.0,,,,,50.339263916015625,,,,2197.883327198,,,,
,,,,1765252472.8693416,22.143590927124023,,,,25395200.0,,,,,50.57662582397461,,,,2197.883964732,,,,
35.18644332885742,0.8864701390266418,20.11070442199707,5.110825538635254,1765252472.8719802,22.62005043029785,21.699432373046875,44.342105865478516,295.2090759277344,26214400.0,3.611053466796875,0.449330598115921,11.648569107055664,,50.89888381958008,0.32628923654556274,209.02113342285156,0.7380833029747009,2197.886957383,1.145776391029358,2.410369396209717,74.02251434326172,2.3123116493225098
,,,,1765252472.8729508,23.067949295043945,,,,27033600.0,,,,,51.69318771362305,,,,2197.887437586,,,,
,,,,1765252472.8734457,23.65610122680664,,,,27852800.0,,,,,51.911781311035156,,,,2197.887912575,,,,
,,,,1765252472.8739338,24.435590744018555,,,,28672000.0,,,,,52.885555267333984,,,,2197.888909927,,,,
,,,,1765252472.8744931,24.522146224975586,,,,29491200.0,,,,,52.99263381958008,,,,2197.889763155,,,,
,,,,1765252472.875482,24.970672607421875,,,,30310400.0,,,,,53.23136901855469,,,,2197.890309619,,,,
,,,,1765252472.8763072,25.23943328857422,,,,31129600.0,,,,,53.48606872558594,,,,2197.891102791,,,,
,,,,1765252472.876857,25.50214195251465,,,,31948800.0,,,,,54.070892333984375,,,,2197.891624121,,,,
,,,,1765252472.8776157,26.340538024902344,,,,32768000.0,,,,,54.59146499633789,,,,2197.892119225,,,,
,,,,1765252472.8781254,26.665916442871094,,,,33587200.0,,,,,54.583953857421875,,,,2197.89261154,,,,
