Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/dynamic_time_warping/site_rrotvec,Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/site_rrotvec,_timestamp,Agent Video,Validation Measures/dynamic_time_warping/qvel,Validation Measures/euclidean_distance/site_rpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/qvel,_step,Validation Measures/euclidean_distance/site_rvel,Mean Episode Return,_runtime,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/qpos
,,,28.614028930664062,,,,1765261718.2086298,,,,,,,,,819200.0,,12.250194549560547,2224.372788553,,,
,,,29.344892501831055,,,,1765261718.210052,,,,,,,,,1638400.0,,12.495111465454102,2224.373351196,,,
,,,29.65960693359375,,,,1765261718.2106314,,,,,,,,,2457600.0,,12.640229225158691,2224.373832715,,,
,,,30.226787567138672,,,,1765261718.2111402,,,,,,,,,3276800.0,,12.86761474609375,2224.374402167,,,
,,,30.824644088745117,,,,1765261718.2116995,,,,,,,,,4096000.0,,13.046648025512695,2224.374893423,,,
,,,31.789281845092773,,,,1765261718.2122004,,,,,,,,,4915200.0,,13.340812683105469,2224.375442342,,,
,,,32.220638275146484,,,,1765261718.212716,,,,,,,,,5734400.0,,13.456775665283203,2224.376233991,,,
,,,33.35422897338867,,,,1765261718.213483,,,,,,,,,6553600.0,,13.762601852416992,2224.377385174,,,
,,,34.7689094543457,,,,1765261718.2145443,,,,,,,,,7372800.0,,14.214486122131348,2224.37830029,,,
,,,36.20478439331055,,,,1765261718.2154922,,,,,,,,,8192000.0,,14.584745407104492,2224.379294159,,,
,,,37.24332046508789,,,,1765261718.2164822,,,,,,,,,9011200.0,,14.895665168762207,2224.380201044,,,
,,,38.43675994873047,,,,1765261718.2173922,,,,,,,,,9830400.0,,15.159317970275879,2224.381067701,,,
,,,39.64399337768555,,,,1765261718.2182834,,,,,,,,,10649600.0,,15.486559867858887,2224.381925395,,,
,,,40.74783706665039,,,,1765261718.2191477,,,,,,,,,11468800.0,,15.887598037719727,2224.382810957,,,
,,,41.36725997924805,,,,1765261718.220003,,,,,,,,,12288000.0,,16.11540412902832,2224.383833503,,,
23.524505615234375,0.794021725654602,98.28986358642578,42.64826202392578,5.563782691955566,16.268537521362305,1.3888784646987915,1765261718.2250142,,324.5838317871094,0.3537580072879791,12.534783363342285,2.9614577293395996,39.46316146850586,0.4548240005970001,3.933969259262085,13107200.0,2.587632417678833,16.57057762145996,2224.389497363,222.4003448486328,0.9378834962844849,35.795536041259766
,,,43.191009521484375,,,,1765261718.226715,,,,,,,,,13926400.0,,16.77499771118164,2224.390261753,,,
,,,44.19322967529297,,,,1765261718.2274797,,,,,,,,,14745600.0,,17.26119041442871,2224.390999463,,,
,,,44.56662368774414,,,,1765261718.2282326,,,,,,,,,15564800.0,,17.492204666137695,2224.391697335,,,
,,,45.22126770019531,,,,1765261718.2289412,,,,,,,,,16384000.0,,17.854747772216797,2224.392401374,,,
,,,46.08234786987305,,,,1765261718.229656,,,,,,,,,17203200.0,,18.409381866455078,2224.393120469,,,
