Validation Measures/dynamic_time_warping/qvel,_timestamp,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Mean Episode Return,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/site_rpos,Mean Episode Length,_runtime,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,Agent Video,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/qpos,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rvel,_step,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/site_rpos
,1765193588.2206874,,,12.256780624389648,,,,,,28.63905906677246,2225.900392681,,,,,,,,819200.0,,,
,1765193588.2221086,,,12.50573444366455,,,,,,29.348583221435547,2225.900827352,,,,,,,,1638400.0,,,
,1765193588.2227092,,,12.620452880859375,,,,,,29.62611961364746,2225.901361443,,,,,,,,2457600.0,,,
,1765193588.2232537,,,12.877973556518555,,,,,,30.16895294189453,2225.901845549,,,,,,,,3276800.0,,,
,1765193588.22376,,,13.017144203186035,,,,,,30.633472442626953,2225.902370942,,,,,,,,4096000.0,,,
,1765193588.2242851,,,13.267467498779297,,,,,,31.478548049926758,2225.902868361,,,,,,,,4915200.0,,,
,1765193588.2247853,,,13.453224182128906,,,,,,32.296409606933594,2225.903461083,,,,,,,,5734400.0,,,
,1765193588.2252684,,,13.70266342163086,,,,,,33.07252502441406,2225.903839956,,,,,,,,6553600.0,,,
,1765193588.2257574,,,14.14185619354248,,,,,,34.49074935913086,2225.904318382,,,,,,,,7372800.0,,,
,1765193588.2262325,,,14.478821754455566,,,,,,35.6383171081543,2225.904836261,,,,,,,,8192000.0,,,
,1765193588.2267358,,,14.806424140930176,,,,,,36.95281982421875,2225.905342542,,,,,,,,9011200.0,,,
,1765193588.2272203,,,15.09933853149414,,,,,,38.22380828857422,2225.905814664,,,,,,,,9830400.0,,,
,1765193588.2277381,,,15.495506286621094,,,,,,39.541236877441406,2225.906307168,,,,,,,,10649600.0,,,
,1765193588.2282162,,,15.846160888671875,,,,,,40.7652702331543,2225.906847724,,,,,,,,11468800.0,,,
,1765193588.2287266,,,16.129928588867188,,,,,,41.547672271728516,2225.90734673,,,,,,,,12288000.0,,,
327.0674133300781,1765193588.231422,12.769898414611816,220.92738342285156,16.568601608276367,0.45750391483306885,2.574660062789917,23.336673736572266,39.79473876953125,0.35359668731689453,42.68525314331055,2225.910648182,1.4051225185394287,3.068765878677368,,3.9558331966400146,35.89167785644531,99.63872528076172,5.571356773376465,13107200.0,16.329130172729492,0.9432180523872375,0.7939080595970154
,1765193588.2325249,,,16.78277015686035,,,,,,43.37639236450195,2225.911246169,,,,,,,,13926400.0,,,
,1765193588.2331383,,,17.141212463378906,,,,,,44.166019439697266,2225.911821039,,,,,,,,14745600.0,,,
,1765193588.2336829,,,17.529447555541992,,,,,,44.886837005615234,2225.912332249,,,,,,,,15564800.0,,,
,1765193588.2342231,,,17.736175537109375,,,,,,45.00464630126953,2225.91286745,,,,,,,,16384000.0,,,
,1765193588.234777,,,18.32921600341797,,,,,,46.00807571411133,2225.913372817,,,,,,,,17203200.0,,,
,1765193588.2352848,,,18.61211585998535,,,,,,46.35776138305664,2225.913885973,,,,,,,,18022400.0,,,
,1765193588.2358074,,,19.02170753479004,,,,,,47.17095947265625,2225.914382136,,,,,,,,18841600.0,,,
,1765193588.236301,,,19.399763107299805,,,,,,47.42671585083008,2225.914892809,,,,,,,,19660800.0,,,
,1765193588.2368193,,,19.78459930419922,,,,,,47.83957290649414,2225.915468667,,,,,,,,20480000.0,,,
,1765193588.237366,,,20.330961227416992,,,,,,48.728118896484375,2225.916008852,,,,,,,,21299200.0,,,
,1765193588.2379022,,,20.60688591003418,,,,,,48.689640045166016,2225.916582239,,,,,,,,22118400.0,,,
,1765193588.238466,,,21.14484405517578,,,,,,49.3967170715332,2225.917139826,,,,,,,,22937600.0,,,
,1765193588.2390149,,,21.44579315185547,,,,,,49.7999153137207,2225.917749521,,,,,,,,23756800.0,,,
,1765193588.239634,,,21.94552993774414,,,,,,50.42305374145508,2225.918314221,,,,,,,,24576000.0,,,
,1765193588.2402055,,,22.193920135498047,,,,,,50.67454147338867,2225.918898911,,,,,,,,25395200.0,,,
294.165771484375,1765193588.2427921,11.724231719970703,209.04905700683594,22.825679779052734,0.45768114924430847,2.415013074874878,22.776161193847656,44.782894134521484,0.3417342007160187,51.33010482788086,2225.921824196,1.180646300315857,2.440828561782837,,3.5948469638824463,36.09551239013672,77.43063354492188,5.10042667388916,26214400.0,20.0301513671875,0.9117828011512756,0.7506101131439209
,1765193588.2437396,,,22.94905662536621,,,,,,51.7833137512207,2225.922323299,,,,,,,,27033600.0,,,
,1765193588.2442362,,,23.695220947265625,,,,,,52.31309127807617,2225.922819853,,,,,,,,27852800.0,,,
,1765193588.2447352,,,24.141515731811523,,,,,,52.93098449707031,2225.92340976,,,,,,,,28672000.0,,,
,1765193588.245291,,,24.699935913085938,,,,,,53.267704010009766,2225.923923512,,,,,,,,29491200.0,,,
,1765193588.245824,,,24.761106491088867,,,,,,53.40556716918945,2225.92453392,,,,,,,,30310400.0,,,
,1765193588.2463577,,,25.203998565673828,,,,,,53.81324768066406,2225.924926954,,,,,,,,31129600.0,,,
,1765193588.246847,,,25.659563064575195,,,,,,54.312232971191406,2225.925450046,,,,,,,,31948800.0,,,
,1765193588.2473643,,,26.01323890686035,,,,,,54.89877700805664,2225.925935943,,,,,,,,32768000.0,,,
,1765193588.2478514,,,26.821086883544922,,,,,,55.186500549316406,2225.926456154,,,,,,,,33587200.0,,,
,1765193588.2483382,,,27.13445472717285,,,,,,55.531944274902344,2225.926893018,,,,,,,,34406400.0,,,
,1765193588.24881,,,27.34153175354004,,,,,,55.7221794128418,2225.927412817,,,,,,,,35225600.0,,,
,1765193588.24931,,,27.836896896362305,,,,,,56.315773010253906,2225.92793786,,,,,,,,36044800.0,,,
,1765193588.2498376,,,28.457563400268555,,,,,,57.112972259521484,2225.928442683,,,,,,,,36864000.0,,,
,1765193588.2503529,,,28.3048152923584,,,,,,56.84734344482422,2225.928957985,,,,,,,,37683200.0,,,
,1765193588.2508745,,,28.72570037841797,,,,,,56.93649673461914,2225.929457583,,,,,,,,38502400.0,,,
282.89654541015625,1765193588.2533062,11.337381362915039,200.5592498779297,29.040700912475586,0.4491785764694214,2.365579843521118,21.73356819152832,47.8636360168457,0.3342117667198181,56.94375991821289,2225.932502745,0.9562661051750183,2.0097672939300537,,3.47993803024292,35.57228469848633,60.39494323730469,4.975430011749268,39321600.0,24.1219539642334,0.8855978846549988,0.7207299470901489
,1765193588.2542675,,,29.48037338256836,,,,,,58.00852966308594,2225.932890226,,,,,,,,40140800.0,,,
,1765193588.254787,,,30.031963348388672,,,,,,58.05953598022461,2225.933422079,,,,,,,,40960000.0,,,
,1765193588.25533,,,30.42583656311035,,,,,,58.311363220214844,2225.934013626,,,,,,,,41779200.0,,,
,1765193588.2559292,,,30.784278869628906,,,,,,58.747886657714844,2225.934568008,,,,,,,,42598400.0,,,
,1765193588.2564826,,,30.930673599243164,,,,,,59.05426025390625,2225.93506861,,,,,,,,43417600.0,,,
,1765193588.2569902,,,31.192638397216797,,,,,,59.585567474365234,2225.935561356,,,,,,,,44236800.0,,,
,1765193588.2574725,,,31.66168975830078,,,,,,59.65908432006836,2225.936042877,,,,,,,,45056000.0,,,
,1765193588.2579641,,,32.32924270629883,,,,,,59.76372146606445,2225.936525699,,,,,,,,45875200.0,,,
,1765193588.2584445,,,32.627071380615234,,,,,,60.36579895019531,2225.937144086,,,,,,,,46694400.0,,,
,1765193588.2590353,,,33.00559616088867,,,,,,60.0703010559082,2225.937728386,,,,,,,,47513600.0,,,
,1765193588.2596188,,,33.67307662963867,,,,,,60.85826873779297,2225.938305767,,,,,,,,48332800.0,,,
,1765193588.260165,,,33.854209899902344,,,,,,60.5482063293457,2225.938873894,,,,,,,,49152000.0,,,
,1765193588.2607727,,,34.09109115600586,,,,,,61.18918228149414,2225.93941733,,,,,,,,49971200.0,,,
,1765193588.2613132,,,34.35698699951172,,,,,,61.19176483154297,2225.939985623,,,,,,,,50790400.0,,,
,1765193588.2618642,,,34.56494903564453,,,,,,61.66744613647461,2225.940557801,,,,,,,,51609600.0,,,
