Validation Measures/dynamic_time_warping/site_rvel,Mean Episode Return,Validation Measures/discrete_frechet_distance/qvel,Agent Video,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/qvel,_runtime,Validation Measures/dynamic_time_warping/qvel,Validation Measures/discrete_frechet_distance/qpos,_step,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/euclidean_distance/qpos,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rvel,Validation Measures/dynamic_time_warping/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/euclidean_distance/site_rpos,_timestamp,Mean Episode Length,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/site_rpos
,12.24670124053955,,,,,2205.836422842,,,819200.0,,,,,,,,,,1764438434.6382902,28.610700607299805,,
,12.508766174316406,,,,,2205.837133957,,,1638400.0,,,,,,,,,,1764438434.639748,29.375728607177734,,
,12.63251781463623,,,,,2205.837809113,,,2457600.0,,,,,,,,,,1764438434.6405497,29.64488410949707,,
,12.869566917419434,,,,,2205.838407903,,,3276800.0,,,,,,,,,,1764438434.6412623,30.18232536315918,,
,13.00027847290039,,,,,2205.839024243,,,4096000.0,,,,,,,,,,1764438434.6418655,30.653228759765625,,
,13.28641414642334,,,,,2205.839613434,,,4915200.0,,,,,,,,,,1764438434.6424692,31.528629302978516,,
,13.437055587768555,,,,,2205.84017132,,,5734400.0,,,,,,,,,,1764438434.643078,32.309303283691406,,
,13.751102447509766,,,,,2205.840741804,,,6553600.0,,,,,,,,,,1764438434.643643,33.36321258544922,,
,14.146985054016113,,,,,2205.841310135,,,7372800.0,,,,,,,,,,1764438434.6442084,34.58972930908203,,
,14.513554573059082,,,,,2205.8418711,,,8192000.0,,,,,,,,,,1764438434.6447854,35.97813034057617,,
,14.820759773254395,,,,,2205.842441439,,,9011200.0,,,,,,,,,,1764438434.645331,37.14662170410156,,
,15.103940963745117,,,,,2205.84303195,,,9830400.0,,,,,,,,,,1764438434.6459033,38.43830871582031,,
,15.507293701171875,,,,,2205.843597673,,,10649600.0,,,,,,,,,,1764438434.6465063,39.81073760986328,,
,15.802140235900879,,,,,2205.844158824,,,11468800.0,,,,,,,,,,1764438434.647073,40.94187545776367,,
,16.17310333251953,,,,,2205.844754314,,,12288000.0,,,,,,,,,,1764438434.6476142,41.77107620239258,,
221.71694946289062,16.487184524536133,12.693099975585938,,39.98404312133789,3.9566385746002197,2205.847994979,326.37518310546875,0.9605345129966736,13107200.0,16.283788681030273,0.8103947043418884,0.4649941325187683,3.08178973197937,101.84273529052734,5.56218957901001,36.6139030456543,2.5800652503967285,0.3588629961013794,1764438434.6504679,42.73706817626953,1.4280458688735962,23.637338638305664
,16.808162689208984,,,,,2205.848587773,,,13926400.0,,,,,,,,,,1764438434.6514666,43.50029373168945,,
,17.141830444335938,,,,,2205.849164957,,,14745600.0,,,,,,,,,,1764438434.6520681,44.21288299560547,,
,17.476858139038086,,,,,2205.849725454,,,15564800.0,,,,,,,,,,1764438434.652629,45.119388580322266,,
,17.755056381225586,,,,,2205.850263041,,,16384000.0,,,,,,,,,,1764438434.6531994,45.59480285644531,,
,18.25551414489746,,,,,2205.851109241,,,17203200.0,,,,,,,,,,1764438434.6537461,46.23832321166992,,
,18.542388916015625,,,,,2205.85162529,,,18022400.0,,,,,,,,,,1764438434.654375,46.62636184692383,,
,18.99464225769043,,,,,2205.852239571,,,18841600.0,,,,,,,,,,1764438434.655107,47.53258514404297,,
,19.150236129760742,,,,,2205.852640423,,,19660800.0,,,,,,,,,,1764438434.6556377,47.48439025878906,,
,19.68895721435547,,,,,2205.85315556,,,20480000.0,,,,,,,,,,1764438434.6561265,48.04810333251953,,
,20.09173583984375,,,,,2205.853680307,,,21299200.0,,,,,,,,,,1764438434.6566467,48.50172424316406,,
,20.584251403808594,,,,,2205.854169659,,,22118400.0,,,,,,,,,,1764438434.6571364,49.232723236083984,,
,20.872615814208984,,,,,2205.854693185,,,22937600.0,,,,,,,,,,1764438434.6576605,49.117610931396484,,
,21.329057693481445,,,,,2205.855246855,,,23756800.0,,,,,,,,,,1764438434.6581671,49.914306640625,,
,21.79303550720215,,,,,2205.855790885,,,24576000.0,,,,,,,,,,1764438434.6587224,50.286956787109375,,
,22.12099838256836,,,,,2205.856397342,,,25395200.0,,,,,,,,,,1764438434.6592588,50.589176177978516,,
208.72711181640625,22.53937530517578,11.756996154785156,,44.60256576538086,3.624419689178467,2205.859526785,296.94940185546875,0.911119818687439,26214400.0,20.32170295715332,0.7648555040359497,0.4576711058616638,2.3949551582336426,76.10882568359375,5.023195266723633,35.9991455078125,2.4131720066070557,0.3402109742164612,1764438434.662015,50.7677001953125,1.1619981527328491,22.570058822631836
,23.0438289642334,,,,,2205.860120327,,,27033600.0,,,,,,,,,,1764438434.6629963,51.561607360839844,,
,23.513593673706055,,,,,2205.860678922,,,27852800.0,,,,,,,,,,1764438434.6635988,51.886051177978516,,
,23.98649024963379,,,,,2205.861446904,,,28672000.0,,,,,,,,,,1764438434.6641703,52.336891174316406,,
,24.532121658325195,,,,,2205.861937186,,,29491200.0,,,,,,,,,,1764438434.6646943,52.67087173461914,,
,24.723787307739258,,,,,2205.862449814,,,30310400.0,,,,,,,,,,1764438434.6654272,52.884700775146484,,
,24.950069427490234,,,,,2205.862945582,,,31129600.0,,,,,,,,,,1764438434.66594,53.28476333618164,,
,25.415334701538086,,,,,2205.863453909,,,31948800.0,,,,,,,,,,1764438434.6664302,53.67531204223633,,
,26.008237838745117,,,,,2205.863967226,,,32768000.0,,,,,,,,,,1764438434.666949,54.346622467041016,,
,26.417768478393555,,,,,2205.86445033,,,33587200.0,,,,,,,,,,1764438434.6674547,54.28671646118164,,
,26.77472496032715,,,,,2205.865111995,,,34406400.0,,,,,,,,,,1764438434.6679382,55.068294525146484,,
,27.293880462646484,,,,,2205.866231051,,,35225600.0,,,,,,,,,,1764438434.6684606,55.37677001953125,,
,27.62441062927246,,,,,2205.867376965,,,36044800.0,,,,,,,,,,1764438434.6692312,55.64072036743164,,
,27.893430709838867,,,,,2205.868002694,,,36864000.0,,,,,,,,,,1764438434.670689,55.805511474609375,,
,28.111175537109375,,,,,2205.868524595,,,37683200.0,,,,,,,,,,1764438434.671443,56.226531982421875,,
,28.255264282226562,,,,,2205.869012354,,,38502400.0,,,,,,,,,,1764438434.6719847,56.013755798339844,,
197.16436767578125,28.915010452270508,11.423942565917969,,47.25925827026367,3.516852617263794,2205.871973646,286.6653137207031,0.8868461847305298,39321600.0,23.110532760620117,0.7115451097488403,0.4499223232269287,2.1157748699188232,62.730594635009766,4.7947306632995605,35.52938461303711,2.323129892349243,0.3241620659828186,1764438434.674467,56.85938262939453,0.9706000089645386,20.93024444580078
,29.031909942626953,,,,,2205.872475676,,,40140800.0,,,,,,,,,,1764438434.675456,56.7684326171875,,
,29.368444442749023,,,,,2205.873008849,,,40960000.0,,,,,,,,,,1764438434.6759596,56.94700622558594,,
,29.924060821533203,,,,,2205.873498309,,,41779200.0,,,,,,,,,,1764438434.6764872,57.34685134887695,,
,30.065107345581055,,,,,2205.874020564,,,42598400.0,,,,,,,,,,1764438434.6769834,57.86698532104492,,
,30.494709014892578,,,,,2205.87468567,,,43417600.0,,,,,,,,,,1764438434.6775053,57.49348068237305,,
,30.582029342651367,,,,,2205.875229862,,,44236800.0,,,,,,,,,,1764438434.6781242,58.115787506103516,,
,31.1796817779541,,,,,2205.87578863,,,45056000.0,,,,,,,,,,1764438434.678697,58.46660614013672,,
,31.37373161315918,,,,,2205.876330758,,,45875200.0,,,,,,,,,,1764438434.679243,58.77915954589844,,
,31.795482635498047,,,,,2205.876962093,,,46694400.0,,,,,,,,,,1764438434.6797657,59.162986755371094,,
,32.818382263183594,,,,,2205.877393231,,,47513600.0,,,,,,,,,,1764438434.6803489,59.65453338623047,,
,32.69167709350586,,,,,2205.877914485,,,48332800.0,,,,,,,,,,1764438434.6808693,59.48655319213867,,
,33.04798889160156,,,,,2205.878432682,,,49152000.0,,,,,,,,,,1764438434.681391,60.13409423828125,,
,33.56905746459961,,,,,2205.878938487,,,49971200.0,,,,,,,,,,1764438434.681906,60.176551818847656,,
,33.47368621826172,,,,,2205.879459581,,,50790400.0,,,,,,,,,,1764438434.6824183,60.468505859375,,
,34.18050765991211,,,,,2205.879974984,,,51609600.0,,,,,,,,,,1764438434.6829388,60.85966873168945,,
192.01507568359375,34.46141052246094,10.99753189086914,,51.53787612915039,3.356213092803955,2205.882930658,273.547607421875,0.8410387635231018,52428800.0,29.413366317749023,0.6558104753494263,0.44650396704673767,1.741677165031433,51.670433044433594,4.771242618560791,35.017642974853516,2.2746357917785645,0.30477625131607056,1764438434.6854377,61.204681396484375,0.8359799981117249,19.387678146362305
,34.54005813598633,,,,,2205.883464238,,,53248000.0,,,,,,,,,,1764438434.686413,61.026424407958984,,
,34.62132263183594,,,,,2205.883954823,,,54067200.0,,,,,,,,,,1764438434.686913,61.148197174072266,,
,35.5302619934082,,,,,2205.884456077,,,54886400.0,,,,,,,,,,1764438434.687439,62.240272521972656,,
,36.27647399902344,,,,,2205.884976959,,,55705600.0,,,,,,,,,,1764438434.6879365,62.5266227722168,,
,36.389892578125,,,,,2205.885509876,,,56524800.0,,,,,,,,,,1764438434.6884427,62.6382942199707,,
,36.68839645385742,,,,,2205.886104548,,,57344000.0,,,,,,,,,,1764438434.6889794,62.587791442871094,,
,37.40858840942383,,,,,2205.886658987,,,58163200.0,,,,,,,,,,1764438434.6895344,63.84413528442383,,
,37.23134231567383,,,,,2205.887206486,,,58982400.0,,,,,,,,,,1764438434.690114,63.371273040771484,,
,37.145172119140625,,,,,2205.887754828,,,59801600.0,,,,,,,,,,1764438434.6906617,63.794036865234375,,
,37.873661041259766,,,,,2205.888299588,,,60620800.0,,,,,,,,,,1764438434.6912181,64.13019561767578,,
,38.54490280151367,,,,,2205.888865327,,,61440000.0,,,,,,,,,,1764438434.6917589,65.27012634277344,,
,38.61174392700195,,,,,2205.889372963,,,62259200.0,,,,,,,,,,1764438434.6923032,64.49297332763672,,
,38.4281120300293,,,,,2205.889908898,,,63078400.0,,,,,,,,,,1764438434.6928463,64.6429214477539,,
,39.27395248413086,,,,,2205.890500501,,,63897600.0,,,,,,,,,,1764438434.6933675,64.80078125,,
,39.600093841552734,,,,,2205.891011775,,,64716800.0,,,,,,,,,,1764438434.6939275,65.58714294433594,,
191.2483367919922,39.242374420166016,10.568964004516602,,52.3603630065918,3.2107555866241455,2205.894168127,261.3634338378906,0.8161334991455078,65536000.0,31.344209671020508,0.6199076175689697,0.44235315918922424,1.6035687923431396,47.34555435180664,4.625124931335449,34.826297760009766,2.2447376251220703,0.2862231135368347,1764438434.6964703,64.7938003540039,0.774363100528717,19.262895584106445
,39.96318054199219,,,,,2205.894698508,,,66355200.0,,,,,,,,,,1764438434.6976478,66.19807434082031,,
,40.347267150878906,,,,,2205.895556432,,,67174400.0,,,,,,,,,,1764438434.6981716,66.51293182373047,,
,41.2564697265625,,,,,2205.896236231,,,67993600.0,,,,,,,,,,1764438434.6987777,67.0998764038086,,
,41.022544860839844,,,,,2205.896786402,,,68812800.0,,,,,,,,,,1764438434.6996772,66.67915344238281,,
,42.01750183105469,,,,,2205.897285003,,,69632000.0,,,,,,,,,,1764438434.7002516,67.46492767333984,,
,41.73258972167969,,,,,2205.897868438,,,70451200.0,,,,,,,,,,1764438434.7007625,67.4601058959961,,
,42.336822509765625,,,,,2205.898860843,,,71270400.0,,,,,,,,,,1764438434.701301,67.83078002929688,,
,42.796165466308594,,,,,2205.89949644,,,72089600.0,,,,,,,,,,1764438434.701908,68.26223754882812,,
,43.431941986083984,,,,,2205.900047207,,,72908800.0,,,,,,,,,,1764438434.702888,68.38553619384766,,
,43.559837341308594,,,,,2205.900553678,,,73728000.0,,,,,,,,,,1764438434.703502,68.7518081665039,,
,44.09175109863281,,,,,2205.901166575,,,74547200.0,,,,,,,,,,1764438434.7040265,69.43387603759766,,
,43.81111526489258,,,,,2205.901584466,,,75366400.0,,,,,,,,,,1764438434.7045662,69.2900619506836,,
,44.14498519897461,,,,,2205.902085655,,,76185600.0,,,,,,,,,,1764438434.7050667,70.08226776123047,,
,45.88651657104492,,,,,2205.902574878,,,77004800.0,,,,,,,,,,1764438434.7055643,71.01234436035156,,
,44.44001770019531,,,,,2205.903060866,,,77824000.0,,,,,,,,,,1764438434.7060564,70.66171264648438,,
188.41287231445312,45.73822021484375,10.625734329223633,,51.284400939941406,3.24489164352417,2205.906495026,262.8590087890625,0.8011870980262756,78643200.0,35.527984619140625,0.5728136897087097,0.4425780177116394,1.5061746835708618,43.04962158203125,4.568115711212158,34.75920486450195,2.232038736343384,0.2738001346588135,1764438434.7085617,71.79875946044922,0.7087531685829163,18.242347717285156
,45.849971771240234,,,,,2205.907115967,,,79462400.0,,,,,,,,,,1764438434.709932,71.58802032470703,,
