Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/qpos,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/discrete_frechet_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,_timestamp,Mean Episode Length,Validation Measures/discrete_frechet_distance/qpos,_step,Agent Video,Mean Episode Return,Validation Measures/euclidean_distance/site_rpos,_runtime,Validation Measures/dynamic_time_warping/qpos,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/dynamic_time_warping/qvel,Validation Measures/discrete_frechet_distance/site_rpos
,,,,,,,,1765167849.722455,28.622819900512695,,819200.0,,12.25300407409668,,2124.865554085,,,,,,,
,,,,,,,,1765167849.7237327,29.38327980041504,,1638400.0,,12.507183074951172,,2124.866076058,,,,,,,
,,,,,,,,1765167849.7242692,29.65826988220215,,2457600.0,,12.632820129394531,,2124.866577615,,,,,,,
,,,,,,,,1765167849.7247925,30.320653915405273,,3276800.0,,12.909914016723633,,2124.867088755,,,,,,,
,,,,,,,,1765167849.7252588,30.824172973632812,,4096000.0,,13.080249786376953,,2124.867697275,,,,,,,
,,,,,,,,1765167849.7258635,31.59693145751953,,4915200.0,,13.30859088897705,,2124.868203995,,,,,,,
,,,,,,,,1765167849.7263916,32.292274475097656,,5734400.0,,13.468762397766113,,2124.868723323,,,,,,,
,,,,,,,,1765167849.726919,33.40158462524414,,6553600.0,,13.78255558013916,,2124.869237959,,,,,,,
,,,,,,,,1765167849.7274215,34.9263801574707,,7372800.0,,14.208324432373047,,2124.869755751,,,,,,,
,,,,,,,,1765167849.727942,36.09135055541992,,8192000.0,,14.569339752197266,,2124.870289047,,,,,,,
,,,,,,,,1765167849.7284784,37.23667526245117,,9011200.0,,14.850077629089355,,2124.870923783,,,,,,,
,,,,,,,,1765167849.7290938,38.41190719604492,,9830400.0,,15.115982055664062,,2124.871468243,,,,,,,
,,,,,,,,1765167849.7296455,39.86198043823242,,10649600.0,,15.505945205688477,,2124.872011551,,,,,,,
,,,,,,,,1765167849.730184,40.91200637817383,,11468800.0,,15.822319984436035,,2124.872545388,,,,,,,
,,,,,,,,1765167849.7307208,41.74917984008789,,12288000.0,,16.093414306640625,,2124.873100539,,,,,,,
39.55376434326172,0.45809832215309143,23.588613510131836,5.631181716918945,101.71949005126953,16.181163787841797,1.4329711198806763,3.0509276390075684,1765167849.7332041,42.597774505615234,0.9478240609169006,13107200.0,,16.511137008666992,0.3555547893047333,2124.876105792,35.9901008605957,3.9436960220336914,2.5857961177825928,12.669774055480957,223.86001586914062,325.58892822265625,0.8027993440628052
,,,,,,,,1765167849.7342892,43.373470306396484,,13926400.0,,16.842187881469727,,2124.876624534,,,,,,,
,,,,,,,,1765167849.7348099,44.192073822021484,,14745600.0,,17.199951171875,,2124.877155399,,,,,,,
,,,,,,,,1765167849.7353437,44.60808181762695,,15564800.0,,17.416303634643555,,2124.877688354,,,,,,,
,,,,,,,,1765167849.7358744,45.33656692504883,,16384000.0,,17.89368438720703,,2124.878194309,,,,,,,
,,,,,,,,1765167849.7363856,45.72799301147461,,17203200.0,,18.216644287109375,,2124.8787118,,,,,,,
,,,,,,,,1765167849.736896,46.526451110839844,,18022400.0,,18.681161880493164,,2124.879225006,,,,,,,
,,,,,,,,1765167849.7374163,46.834041595458984,,18841600.0,,18.97134017944336,,2124.879738434,,,,,,,
,,,,,,,,1765167849.737931,47.233219146728516,,19660800.0,,19.262998580932617,,2124.880248353,,,,,,,
,,,,,,,,1765167849.738437,47.968265533447266,,20480000.0,,19.78907012939453,,2124.880760784,,,,,,,
,,,,,,,,1765167849.7389514,48.306034088134766,,21299200.0,,20.24480438232422,,2124.88138449,,,,,,,
,,,,,,,,1765167849.7395654,48.84358596801758,,22118400.0,,20.670589447021484,,2124.881888002,,,,,,,
,,,,,,,,1765167849.7400837,48.939693450927734,,22937600.0,,21.016408920288086,,2124.882466382,,,,,,,
,,,,,,,,1765167849.740603,49.73884201049805,,23756800.0,,21.515380859375,,2124.882992005,,,,,,,
,,,,,,,,1765167849.7411437,50.087642669677734,,24576000.0,,21.75120735168457,,2124.883487404,,,,,,,
