Validation Measures/dynamic_time_warping/site_rrotvec,_runtime,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Mean Episode Length,Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/qpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rpos,_step,Agent Video,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rrotvec,_timestamp,Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/euclidean_distance/site_rrotvec
,2191.046249473,,,,,28.629377365112305,,,,,,,819200.0,,,,1765254794.4949152,12.253861427307129,,,,
,2191.046838422,,,,,29.361772537231445,,,,,,,1638400.0,,,,1765254794.4960861,12.502218246459961,,,,
,2191.047375646,,,,,29.639575958251953,,,,,,,2457600.0,,,,1765254794.4967005,12.6366605758667,,,,
,2191.047883967,,,,,30.23838233947754,,,,,,,3276800.0,,,,1765254794.4972785,12.861525535583496,,,,
,2191.048382128,,,,,30.672950744628906,,,,,,,4096000.0,,,,1765254794.4977887,13.02792739868164,,,,
,2191.049027686,,,,,31.574739456176758,,,,,,,4915200.0,,,,1765254794.4982862,13.286225318908691,,,,
,2191.049538364,,,,,32.28364181518555,,,,,,,5734400.0,,,,1765254794.4989097,13.468045234680176,,,,
,2191.050039917,,,,,33.43668746948242,,,,,,,6553600.0,,,,1765254794.4994378,13.777134895324707,,,,
,2191.050573075,,,,,34.7835693359375,,,,,,,7372800.0,,,,1765254794.4999404,14.174994468688965,,,,
,2191.051078445,,,,,36.06114196777344,,,,,,,8192000.0,,,,1765254794.5004876,14.561784744262695,,,,
,2191.051607388,,,,,37.135536193847656,,,,,,,9011200.0,,,,1765254794.50099,14.835598945617676,,,,
,2191.052093704,,,,,38.55845260620117,,,,,,,9830400.0,,,,1765254794.5015054,15.150382041931152,,,,
,2191.052623677,,,,,39.861087799072266,,,,,,,10649600.0,,,,1765254794.5020134,15.518180847167969,,,,
,2191.053136436,,,,,40.722618103027344,,,,,,,11468800.0,,,,1765254794.502539,15.819938659667969,,,,
,2191.053639151,,,,,41.53470230102539,,,,,,,12288000.0,,,,1765254794.5030491,16.14194107055664,,,,
103.82060241699219,2191.057191514,3.940657615661621,220.95823669433594,5.512726783752441,16.339237213134766,42.475467681884766,39.71428680419922,36.06100082397461,2.5667529106140137,12.690238952636719,0.45730963349342346,0.3543701767921448,13107200.0,,0.7986083030700684,3.055007219314575,1765254794.505935,16.47260093688965,0.9459636211395264,325.71832275390625,23.54100799560547,1.444536566734314
,2191.057763327,,,,,43.378570556640625,,,,,,,13926400.0,,,,1765254794.5070686,16.79488182067871,,,,
,2191.058253375,,,,,44.045284271240234,,,,,,,14745600.0,,,,1765254794.5076337,17.11208724975586,,,,
,2191.058821528,,,,,44.85263442993164,,,,,,,15564800.0,,,,1765254794.508157,17.538101196289062,,,,
,2191.059357529,,,,,45.36479949951172,,,,,,,16384000.0,,,,1765254794.508686,17.7767391204834,,,,
,2191.059866287,,,,,45.90742492675781,,,,,,,17203200.0,,,,1765254794.5092661,18.275054931640625,,,,
,2191.060372254,,,,,46.58456802368164,,,,,,,18022400.0,,,,1765254794.5097845,18.683467864990234,,,,
,2191.060861425,,,,,47.337493896484375,,,,,,,18841600.0,,,,1765254794.5102894,19.112945556640625,,,,
,2191.061366469,,,,,47.74532699584961,,,,,,,19660800.0,,,,1765254794.5107832,19.430652618408203,,,,
,2191.061881342,,,,,48.12493896484375,,,,,,,20480000.0,,,,1765254794.5112915,19.765392303466797,,,,
