Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rrotvec,Mean Episode Length,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/site_rpos,Mean Episode Return,Validation Measures/dynamic_time_warping/qvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,_step,Validation Measures/euclidean_distance/site_rvel,Validation Measures/discrete_frechet_distance/site_rpos,_runtime,Validation Measures/euclidean_distance/qpos,Validation Info/Mean Episode Length,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,Agent Video,_timestamp,Validation Measures/dynamic_time_warping/qpos
,,,28.615997314453125,,,12.250919342041016,,,,,819200.0,,,2169.632707719,,,,,,,1765187865.9383237,
,,,29.366731643676758,,,12.506121635437012,,,,,1638400.0,,,2169.633389116,,,,,,,1765187865.9401844,
,,,29.65675926208496,,,12.644054412841797,,,,,2457600.0,,,2169.634386974,,,,,,,1765187865.9409668,
,,,30.330636978149414,,,12.911237716674805,,,,,3276800.0,,,2169.635414022,,,,,,,1765187865.9415689,
,,,30.815380096435547,,,13.053691864013672,,,,,4096000.0,,,2169.636324382,,,,,,,1765187865.9428475,
,,,31.62451171875,,,13.31710433959961,,,,,4915200.0,,,2169.637325601,,,,,,,1765187865.9438531,
,,,32.350807189941406,,,13.488250732421875,,,,,5734400.0,,,2169.63816132,,,,,,,1765187865.9448729,
,,,33.267845153808594,,,13.795674324035645,,,,,6553600.0,,,2169.638665092,,,,,,,1765187865.945741,
,,,34.658592224121094,,,14.167084693908691,,,,,7372800.0,,,2169.639152622,,,,,,,1765187865.9462914,
,,,36.069828033447266,,,14.556877136230469,,,,,8192000.0,,,2169.639784173,,,,,,,1765187865.9467669,
,,,37.06867599487305,,,14.825027465820312,,,,,9011200.0,,,2169.640265768,,,,,,,1765187865.9473956,
,,,38.387264251708984,,,15.13424015045166,,,,,9830400.0,,,2169.640790893,,,,,,,1765187865.9478903,
,,,39.719940185546875,,,15.522882461547852,,,,,10649600.0,,,2169.641296411,,,,,,,1765187865.9483764,
,,,40.914852142333984,,,15.891704559326172,,,,,11468800.0,,,2169.641786919,,,,,,,1765187865.948885,
,,,41.39472961425781,,,16.130657196044922,,,,,12288000.0,,,2169.642342984,,,,,,,1765187865.949398,
23.41299819946289,3.9270646572113037,1.3966540098190308,42.497920989990234,16.25218963623047,0.35300567746162415,16.574216842651367,323.8310546875,12.605218887329102,221.21340942382812,5.471780300140381,13107200.0,2.5589303970336914,0.8011451363563538,2169.645207996,0.4601137340068817,39.75,0.9488295912742615,98.9419937133789,2.9701199531555176,,1765187865.951875,36.1976318359375
,,,43.259361267089844,,,16.866182327270508,,,,,13926400.0,,,2169.645720444,,,,,,,1765187865.9528372,
,,,43.99516296386719,,,17.177297592163086,,,,,14745600.0,,,2169.646235538,,,,,,,1765187865.9533417,
,,,44.67943572998047,,,17.51014518737793,,,,,15564800.0,,,2169.646736009,,,,,,,1765187865.9538584,
,,,45.418296813964844,,,17.91969108581543,,,,,16384000.0,,,2169.647206738,,,,,,,1765187865.954351,
,,,45.90868377685547,,,18.301971435546875,,,,,17203200.0,,,2169.64771115,,,,,,,1765187865.9548378,
,,,46.586692810058594,,,18.656078338623047,,,,,18022400.0,,,2169.648189783,,,,,,,1765187865.9553332,
,,,47.443782806396484,,,19.130050659179688,,,,,18841600.0,,,2169.648710836,,,,,,,1765187865.955821,
,,,47.44650650024414,,,19.308273315429688,,,,,19660800.0,,,2169.649216635,,,,,,,1765187865.9563413,
,,,47.92545700073242,,,19.76042366027832,,,,,20480000.0,,,2169.649707149,,,,,,,1765187865.9568405,
,,,48.307621002197266,,,20.26595115661621,,,,,21299200.0,,,2169.650205371,,,,,,,1765187865.957339,
,,,48.84742736816406,,,20.675247192382812,,,,,22118400.0,,,2169.650682409,,,,,,,1765187865.9578407,
,,,49.12303161621094,,,20.974515914916992,,,,,22937600.0,,,2169.651174641,,,,,,,1765187865.9583204,
