Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Validation Measures/euclidean_distance/qpos,Mean Episode Return,Validation Measures/euclidean_distance/site_rvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Measures/dynamic_time_warping/site_rrotvec,_timestamp,Mean Episode Length,_runtime,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/discrete_frechet_distance/qvel,_step,Validation Measures/dynamic_time_warping/qpos,Validation Measures/dynamic_time_warping/site_rvel,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/site_rvel
,,,,12.25252914428711,,,,,1765209258.0499358,28.62379264831543,2217.308232445,,,,,,819200.0,,,,,
,,,,12.507265090942383,,,,,1765209258.052008,29.336380004882812,2217.308788932,,,,,,1638400.0,,,,,
,,,,12.613588333129883,,,,,1765209258.052678,29.666473388671875,2217.309321564,,,,,,2457600.0,,,,,
,,,,12.879348754882812,,,,,1765209258.05321,30.26435661315918,2217.309818794,,,,,,3276800.0,,,,,
,,,,13.059070587158203,,,,,1765209258.053722,30.82811164855957,2217.310361428,,,,,,4096000.0,,,,,
,,,,13.295915603637695,,,,,1765209258.0542626,31.65985679626465,2217.310861812,,,,,,4915200.0,,,,,
,,,,13.452730178833008,,,,,1765209258.0547655,32.338348388671875,2217.311408961,,,,,,5734400.0,,,,,
,,,,13.716543197631836,,,,,1765209258.0553048,33.2867431640625,2217.311908006,,,,,,6553600.0,,,,,
,,,,14.13444995880127,,,,,1765209258.055815,34.594730377197266,2217.312443793,,,,,,7372800.0,,,,,
,,,,14.526717185974121,,,,,1765209258.0563512,36.132816314697266,2217.31294778,,,,,,8192000.0,,,,,
,,,,14.805726051330566,,,,,1765209258.0568502,37.167198181152344,2217.313434628,,,,,,9011200.0,,,,,
,,,,15.072394371032715,,,,,1765209258.0573437,38.37704086303711,2217.313942423,,,,,,9830400.0,,,,,
,,,,15.4413423538208,,,,,1765209258.0578518,39.69155502319336,2217.314455612,,,,,,10649600.0,,,,,
,,,,15.818476676940918,,,,,1765209258.058351,40.75344467163086,2217.314957059,,,,,,11468800.0,,,,,
,,,,16.03415870666504,,,,,1765209258.0588436,41.48240280151367,2217.315495359,,,,,,12288000.0,,,,,
3.9578168392181396,23.64289093017578,,0.4591071605682373,16.523548126220703,2.6123220920562744,1.3714847564697266,2.93546986579895,97.03843688964844,1765209258.061561,42.54352951049805,2217.318614488,39.97895050048828,0.35972192883491516,0.8066148161888123,327.2879333496094,12.751482009887695,13107200.0,36.01576232910156,224.91644287109375,16.285812377929688,0.9495799541473389,5.636014938354492
,,,,16.765789031982422,,,,,1765209258.0625231,43.37590408325195,2217.3191377,,,,,,13926400.0,,,,,
,,,,17.171598434448242,,,,,1765209258.0630403,44.01456069946289,2217.319677642,,,,,,14745600.0,,,,,
,,,,17.372365951538086,,,,,1765209258.0635579,44.73415756225586,2217.320250327,,,,,,15564800.0,,,,,
,,,,17.835880279541016,,,,,1765209258.06412,45.445640563964844,2217.32081779,,,,,,16384000.0,,,,,
,,,,18.259971618652344,,,,,1765209258.064697,46.12081527709961,2217.321353786,,,,,,17203200.0,,,,,
,,,,18.65355682373047,,,,,1765209258.0652368,46.59184265136719,2217.321899809,,,,,,18022400.0,,,,,
,,,,19.048198699951172,,,,,1765209258.06579,47.53352737426758,2217.322420103,,,,,,18841600.0,,,,,
,,,,19.20296287536621,,,,,1765209258.0663104,47.56934356689453,2217.322958168,,,,,,19660800.0,,,,,
