Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/dynamic_time_warping/qpos,Mean Episode Length,Mean Episode Return,Validation Info/Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rvel,_runtime,Validation Measures/discrete_frechet_distance/site_rrotvec,_timestamp,Validation Measures/euclidean_distance/site_rpos,Validation Measures/discrete_frechet_distance/qpos,_step,Agent Video,Validation Measures/euclidean_distance/site_rvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/euclidean_distance/qpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/euclidean_distance/qvel,Validation Info/Mean Episode Return,Validation Measures/dynamic_time_warping/site_rrotvec
,,28.631126403808594,12.254189491271973,,,,2201.528605031,,1765203655.5016394,,,819200.0,,,,,,,,,,
,,29.362802505493164,12.499076843261719,,,,2201.529179287,,1765203655.5032156,,,1638400.0,,,,,,,,,,
,,29.645645141601562,12.639679908752441,,,,2201.52972915,,1765203655.5038133,,,2457600.0,,,,,,,,,,
,,30.294477462768555,12.90021800994873,,,,2201.530474688,,1765203655.5043693,,,3276800.0,,,,,,,,,,
,,30.782726287841797,13.069430351257324,,,,2201.531148058,,1765203655.505095,,,4096000.0,,,,,,,,,,
,,31.71017837524414,13.382491111755371,,,,2201.531895658,,1765203655.5056894,,,4915200.0,,,,,,,,,,
,,32.466495513916016,13.487683296203613,,,,2201.532495988,,1765203655.5064025,,,5734400.0,,,,,,,,,,
,,33.504730224609375,13.829100608825684,,,,2201.533050364,,1765203655.5071332,,,6553600.0,,,,,,,,,,
,,34.890018463134766,14.222494125366211,,,,2201.533568635,,1765203655.507696,,,7372800.0,,,,,,,,,,
,,36.16594314575195,14.569042205810547,,,,2201.534093455,,1765203655.5082185,,,8192000.0,,,,,,,,,,
,,37.25033187866211,14.890076637268066,,,,2201.534617305,,1765203655.5087547,,,9011200.0,,,,,,,,,,
,,38.321754455566406,15.121613502502441,,,,2201.535170324,,1765203655.5092652,,,9830400.0,,,,,,,,,,
,,39.642696380615234,15.478292465209961,,,,2201.535693052,,1765203655.509821,,,10649600.0,,,,,,,,,,
,,40.630615234375,15.826924324035645,,,,2201.536268512,,1765203655.5103524,,,11468800.0,,,,,,,,,,
