Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/euclidean_distance/site_rpos,Validation Measures/dynamic_time_warping/site_rvel,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Mean Episode Return,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rpos,_timestamp,_step,Validation Measures/dynamic_time_warping/qvel,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/qpos
,,,,,,,,2208.444894084,12.252375602722168,,,28.620765686035156,,1764574422.3353133,819200.0,,,,,,,
,,,,,,,,2208.445480564,12.49160099029541,,,29.334001541137695,,1764574422.3365343,1638400.0,,,,,,,
,,,,,,,,2208.446027948,12.596945762634277,,,29.53580093383789,,1764574422.3370976,2457600.0,,,,,,,
,,,,,,,,2208.446609081,12.848254203796387,,,30.15917205810547,,1764574422.3377032,3276800.0,,,,,,,
,,,,,,,,2208.447271392,13.015823364257812,,,30.663494110107422,,1764574422.3382547,4096000.0,,,,,,,
,,,,,,,,2208.447744568,13.223923683166504,,,31.461849212646484,,1764574422.338896,4915200.0,,,,,,,
,,,,,,,,2208.44836554,13.413362503051758,,,32.21883773803711,,1764574422.3394048,5734400.0,,,,,,,
,,,,,,,,2208.448847576,13.705991744995117,,,33.184444427490234,,1764574422.3399525,6553600.0,,,,,,,
,,,,,,,,2208.449380569,14.137269020080566,,,34.51810836791992,,1764574422.3405166,7372800.0,,,,,,,
,,,,,,,,2208.449941411,14.474796295166016,,,35.9300537109375,,1764574422.3410418,8192000.0,,,,,,,
,,,,,,,,2208.450445819,14.8234224319458,,,37.18450927734375,,1764574422.3416083,9011200.0,,,,,,,
,,,,,,,,2208.450969671,15.100760459899902,,,38.42912673950195,,1764574422.342112,9830400.0,,,,,,,
,,,,,,,,2208.451494983,15.52828598022461,,,39.873233795166016,,1764574422.3426373,10649600.0,,,,,,,
,,,,,,,,2208.452014328,15.841358184814453,,,40.961402893066406,,1764574422.3431697,11468800.0,,,,,,,
,,,,,,,,2208.452546414,16.143173217773438,,,41.67771911621094,,1764574422.3436844,12288000.0,,,,,,,
99.9474868774414,0.35627761483192444,225.6862030029297,39.85714340209961,3.9590818881988525,2.6022167205810547,1.4028277397155762,3.030496835708618,2208.455540693,16.51561737060547,23.74370574951172,,42.729671478271484,0.811063826084137,1764574422.3461096,13107200.0,327.193359375,36.08050537109375,5.7262444496154785,16.228811264038086,0.9493794441223145,12.735671043395996,0.45721742510795593
,,,,,,,,2208.456130291,16.817014694213867,,,43.53067398071289,,1764574422.3471928,13926400.0,,,,,,,
,,,,,,,,2208.456760815,17.130517959594727,,,44.22580337524414,,1764574422.347751,14745600.0,,,,,,,
,,,,,,,,2208.457247644,17.475522994995117,,,44.81183624267578,,1764574422.3483403,15564800.0,,,,,,,
,,,,,,,,2208.457810087,17.806276321411133,,,45.38521194458008,,1764574422.348909,16384000.0,,,,,,,
,,,,,,,,2208.458392216,18.226686477661133,,,45.992637634277344,,1764574422.3494763,17203200.0,,,,,,,
,,,,,,,,2208.45886052,18.538116455078125,,,46.334877014160156,,1764574422.3499992,18022400.0,,,,,,,
,,,,,,,,2208.459386004,19.008392333984375,,,47.22160720825195,,1764574422.3505468,18841600.0,,,,,,,
,,,,,,,,2208.459905584,19.138294219970703,,,47.329280853271484,,1764574422.3510563,19660800.0,,,,,,,
,,,,,,,,2208.46045204,19.66397476196289,,,47.87925720214844,,1764574422.3515837,20480000.0,,,,,,,
,,,,,,,,2208.460976131,20.117229461669922,,,48.25821304321289,,1764574422.352112,21299200.0,,,,,,,
,,,,,,,,2208.461518832,20.568153381347656,,,48.7605094909668,,1764574422.352646,22118400.0,,,,,,,
,,,,,,,,2208.462083931,20.947885513305664,,,49.116355895996094,,1764574422.3531868,22937600.0,,,,,,,
,,,,,,,,2208.462580127,21.523258209228516,,,49.65105056762695,,1764574422.3537147,23756800.0,,,,,,,
,,,,,,,,2208.463093737,21.900772094726562,,,50.35747528076172,,1764574422.354252,24576000.0,,,,,,,
,,,,,,,,2208.463634972,22.142393112182617,,,50.289306640625,,1764574422.3547657,25395200.0,,,,,,,
73.62064361572266,0.33856719732284546,208.87615966796875,43.85234832763672,3.616056203842163,2.4136745929718018,1.1223162412643433,2.331974744796753,2208.466729619,22.600046157836914,23.10456085205078,,50.62125015258789,0.7591796517372131,1764574422.357283,26214400.0,296.9034423828125,36.65696716308594,5.087719440460205,20.32455062866211,0.9255115985870361,11.722694396972656,0.46038010716438293
,,,,,,,,2208.467232222,23.12984848022461,,,51.4012336730957,,1764574422.3584073,27033600.0,,,,,,,
