Validation Measures/dynamic_time_warping/qvel,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Info/Mean Episode Return,Validation Measures/dynamic_time_warping/site_rvel,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rrotvec,Agent Video,Mean Episode Return,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/site_rpos,_step,Validation Measures/discrete_frechet_distance/site_rvel,Mean Episode Length,Validation Measures/euclidean_distance/site_rrotvec,_timestamp,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Measures/euclidean_distance/site_rpos,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rpos,_runtime,Validation Measures/euclidean_distance/qpos
,,,,,,,,,12.245560646057129,,,819200.0,,28.619733810424805,,1765266366.777543,,,,,2206.134921781,
,,,,,,,,,12.50062084197998,,,1638400.0,,29.33352279663086,,1765266366.7787795,,,,,2206.135466772,
,,,,,,,,,12.587800979614258,,,2457600.0,,29.56209945678711,,1765266366.7793543,,,,,2206.135977096,
,,,,,,,,,12.853741645812988,,,3276800.0,,30.167787551879883,,1765266366.7798955,,,,,2206.136509944,
,,,,,,,,,13.013509750366211,,,4096000.0,,30.674795150756836,,1765266366.7803967,,,,,2206.137212012,
,,,,,,,,,13.273569107055664,,,4915200.0,,31.473142623901367,,1765266366.7810988,,,,,2206.137737712,
,,,,,,,,,13.443272590637207,,,5734400.0,,32.24931716918945,,1765266366.7816505,,,,,2206.13826987,
,,,,,,,,,13.72683048248291,,,6553600.0,,33.316131591796875,,1765266366.782185,,,,,2206.138811665,
,,,,,,,,,14.195513725280762,,,7372800.0,,34.83158874511719,,1765266366.782692,,,,,2206.139292335,
,,,,,,,,,14.524517059326172,,,8192000.0,,36.206703186035156,,1765266366.7832127,,,,,2206.139932059,
,,,,,,,,,14.854619979858398,,,9011200.0,,37.33346939086914,,1765266366.7838426,,,,,2206.140723284,
,,,,,,,,,15.109230995178223,,,9830400.0,,38.481605529785156,,1765266366.7845862,,,,,2206.141429947,
,,,,,,,,,15.512146949768066,,,10649600.0,,39.91035079956055,,1765266366.7853177,,,,,2206.142174957,
,,,,,,,,,15.837574005126953,,,11468800.0,,40.9754753112793,,1765266366.7860572,,,,,2206.142900297,
,,,,,,,,,16.18674659729004,,,12288000.0,,41.80027770996094,,1765266366.7867854,,,,,2206.143450657,
325.4968566894531,0.9548215866088867,12.657690048217773,16.174850463867188,224.2088165283203,39.68783187866211,3.9389290809631348,102.01412200927734,,16.40762710571289,36.27608108520508,0.8057423233985901,13107200.0,5.568666934967041,42.59862518310547,1.4335530996322632,1765266366.7892344,3.0494072437286377,0.3546653687953949,2.6015868186950684,23.44782829284668,2206.1462405,0.4603007435798645
,,,,,,,,,16.81616973876953,,,13926400.0,,43.51267623901367,,1765266366.7901685,,,,,2206.146761662,
,,,,,,,,,17.112516403198242,,,14745600.0,,44.133323669433594,,1765266366.790672,,,,,2206.147248672,
,,,,,,,,,17.496870040893555,,,15564800.0,,45.00292205810547,,1765266366.791168,,,,,2206.1477562,
,,,,,,,,,17.831979751586914,,,16384000.0,,45.430152893066406,,1765266366.791675,,,,,2206.148233605,
,,,,,,,,,18.308597564697266,,,17203200.0,,46.10921096801758,,1765266366.7921581,,,,,2206.14873923,
,,,,,,,,,18.562524795532227,,,18022400.0,,46.428749084472656,,1765266366.792662,,,,,2206.149212938,
