Validation Measures/discrete_frechet_distance/site_rrotvec,_step,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/site_rvel,Validation Measures/dynamic_time_warping/qpos,_timestamp,Validation Info/Mean Episode Return,Validation Measures/dynamic_time_warping/site_rrotvec,Mean Episode Length,Validation Measures/euclidean_distance/qpos,_runtime,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Agent Video,Validation Measures/euclidean_distance/site_rpos,Validation Info/Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/site_rpos,Mean Episode Return,Validation Measures/dynamic_time_warping/qvel,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/euclidean_distance/site_rvel
,819200.0,,,,1765259406.5014179,,,28.636030197143555,,2202.938629036,,,,,,,,,12.254097938537598,,,
,1638400.0,,,,1765259406.5026765,,,29.32581901550293,,2202.939237588,,,,,,,,,12.487626075744629,,,
,2457600.0,,,,1765259406.5033286,,,29.657129287719727,,2202.939863799,,,,,,,,,12.627862930297852,,,
,3276800.0,,,,1765259406.5039377,,,30.22446060180664,,2202.940851869,,,,,,,,,12.87406063079834,,,
,4096000.0,,,,1765259406.504702,,,30.690715789794922,,2202.941558957,,,,,,,,,13.023405075073242,,,
,4915200.0,,,,1765259406.505611,,,31.555898666381836,,2202.942239071,,,,,,,,,13.292147636413574,,,
,5734400.0,,,,1765259406.506276,,,32.292823791503906,,2202.942801387,,,,,,,,,13.459165573120117,,,
,6553600.0,,,,1765259406.506913,,,33.368194580078125,,2202.943313564,,,,,,,,,13.795027732849121,,,
,7372800.0,,,,1765259406.5074384,,,34.58597183227539,,2202.943827416,,,,,,,,,14.160812377929688,,,
,8192000.0,,,,1765259406.5079625,,,36.09255599975586,,2202.944363313,,,,,,,,,14.556958198547363,,,
,9011200.0,,,,1765259406.5084834,,,37.213157653808594,,2202.944881271,,,,,,,,,14.889434814453125,,,
,9830400.0,,,,1765259406.509002,,,38.44619369506836,,2202.945394368,,,,,,,,,15.133098602294922,,,
,10649600.0,,,,1765259406.5095232,,,39.87519073486328,,2202.945920602,,,,,,,,,15.538520812988281,,,
,11468800.0,,,,1765259406.5100424,,,40.91081619262695,,2202.946433234,,,,,,,,,15.844337463378906,,,
,12288000.0,,,,1765259406.5105581,,,41.78888702392578,,2202.94735851,,,,,,,,,16.155317306518555,,,
2.982464551925659,13107200.0,0.9456681609153748,5.485951900482178,36.236366271972656,1765259406.513597,16.261072158813477,99.09294891357422,42.707725524902344,0.4598429203033447,2202.950621662,12.71381950378418,220.21974182128906,,0.35599154233932495,39.85185241699219,3.954813003540039,1.4053082466125488,23.37068748474121,16.550439834594727,326.68621826171875,0.8020567297935486,2.569206476211548
,13926400.0,,,,1765259406.5147028,,,43.51797866821289,,2202.951214292,,,,,,,,,16.784940719604492,,,
,14745600.0,,,,1765259406.5152922,,,44.15586853027344,,2202.95177589,,,,,,,,,17.183197021484375,,,
,15564800.0,,,,1765259406.5158827,,,44.880218505859375,,2202.952351564,,,,,,,,,17.486780166625977,,,
,16384000.0,,,,1765259406.5164254,,,45.35913848876953,,2202.95281564,,,,,,,,,17.769498825073242,,,
,17203200.0,,,,1765259406.5169404,,,45.94849395751953,,2202.953334425,,,,,,,,,18.23499298095703,,,
,18022400.0,,,,1765259406.517457,,,46.557403564453125,,2202.953875708,,,,,,,,,18.591344833374023,,,
,18841600.0,,,,1765259406.5179973,,,47.1032829284668,,2202.954387151,,,,,,,,,19.03010368347168,,,
,19660800.0,,,,1765259406.5185134,,,47.28200912475586,,2202.9549156,,,,,,,,,19.303998947143555,,,
,20480000.0,,,,1765259406.519046,,,47.75270080566406,,2202.95542934,,,,,,,,,19.663551330566406,,,
,21299200.0,,,,1765259406.519554,,,48.50484085083008,,2202.955948565,,,,,,,,,20.22452163696289,,,
,22118400.0,,,,1765259406.520063,,,48.854042053222656,,2202.956494321,,,,,,,,,20.74057388305664,,,
,22937600.0,,,,1765259406.5206118,,,49.13124465942383,,2202.956990739,,,,,,,,,20.992855072021484,,,
