Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/qvel,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rvel,Agent Video,Validation Measures/euclidean_distance/site_rrotvec,Metric for Sweep,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rrotvec,_timestamp,Discriminator/Output Expert,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/site_rpos,_step,Mean Episode Return,Validation Measures/discrete_frechet_distance/site_rrotvec,_runtime,Validation Measures/euclidean_distance/qpos,Mean Episode Length,Discriminator/Output Policy
,,,,,,,,,,,1765951779.763871,0.5005844831466675,,,,,,,819200.0,12.250862121582031,,2167.281592378,,28.62729263305664,0.4984873831272125
,,,,,,,,,,,1765951779.7661054,0.4983804225921631,,,,,,,1638400.0,12.483285903930664,,2167.282363301,,29.47802734375,0.4919632077217102
,,,,,,,,,,,1765951779.7669802,0.4964086711406708,,,,,,,2457600.0,12.50634765625,,2167.283242169,,29.65724754333496,0.48592931032180786
,,,,,,,,,,,1765951779.7678108,0.4946337342262268,,,,,,,3276800.0,12.637722969055176,,2167.284024327,,30.071929931640625,0.47987794876098633
,,,,,,,,,,,1765951779.7686415,0.49281492829322815,,,,,,,4096000.0,12.71271800994873,,2167.284895315,,30.356487274169922,0.473900705575943
,,,,,,,,,,,1765951779.7694507,0.49142128229141235,,,,,,,4915200.0,12.830924034118652,,2167.285688956,,30.83115005493164,0.4683128893375397
,,,,,,,,,,,1765951779.7702653,0.4901917576789856,,,,,,,5734400.0,12.857650756835938,,2167.286513222,,31.180925369262695,0.4629102647304535
,,,,,,,,,,,1765951779.7711205,0.4891321361064911,,,,,,,6553600.0,12.933834075927734,,2167.287296522,,31.603483200073242,0.45792141556739807
,,,,,,,,,,,1765951779.7719247,0.48829641938209534,,,,,,,7372800.0,13.185364723205566,,2167.288065101,,32.420772552490234,0.4527629017829895
,,,,,,,,,,,1765951779.7727056,0.4874388873577118,,,,,,,8192000.0,13.275348663330078,,2167.288845815,,32.83513641357422,0.448352575302124
,,,,,,,,,,,1765951779.7734995,0.4873189926147461,,,,,,,9011200.0,13.280372619628906,,2167.289712752,,33.07816696166992,0.44379186630249023
,,,,,,,,,,,1765951779.774304,0.4866997301578522,,,,,,,9830400.0,13.409263610839844,,2167.290670856,,33.74077224731445,0.43915367126464844
,,,,,,,,,,,1765951779.7752159,0.4862734377384186,,,,,,,10649600.0,13.543855667114258,,2167.291643971,,34.35887908935547,0.43480679392814636
,,,,,,,,,,,1765951779.7762022,0.4861002564430237,,,,,,,11468800.0,13.675605773925781,,2167.292639858,,34.854740142822266,0.43059197068214417
,,,,,,,,,,,1765951779.777206,0.48622241616249084,,,,,,,12288000.0,13.82774543762207,,2167.293668149,,35.4754638671875,0.42674991488456726
35.21973419189453,353.9411315917969,2.7992708683013916,243.4087371826172,,1.5484462976455688,1.1235847473144531,13.557695388793945,0.9899522662162781,6.181765079498291,110.8497543334961,1765951779.7830465,0.48608097434043884,4.246261119842529,25.47245979309082,0.8234142661094666,36.860050201416016,13.58240032196045,0.37452825903892517,13107200.0,13.918087005615234,3.4384214878082275,2167.299308892,0.46547478437423706,36.23973846435547,0.42223992943763733
,,,,,,,,,,,1765951779.7838657,0.486295610666275,,,,,,,13926400.0,14.077329635620117,,2167.300115669,,36.92554473876953,0.41870447993278503
,,,,,,,,,,,1765951779.784728,0.4863929748535156,,,,,,,14745600.0,14.181159019470215,,2167.300953911,,37.54624938964844,0.4145728051662445
,,,,,,,,,,,1765951779.785552,0.48668286204338074,,,,,,,15564800.0,14.385856628417969,,2167.301794596,,38.205841064453125,0.4112783372402191
,,,,,,,,,,,1765951779.7864125,0.4869256019592285,,,,,,,16384000.0,14.455546379089355,,2167.302628383,,38.87499237060547,0.40769320726394653
,,,,,,,,,,,1765951779.7872162,0.4878101944923401,,,,,,,17203200.0,14.543872833251953,,2167.303348185,,39.489402770996094,0.4052281379699707
,,,,,,,,,,,1765951779.7879806,0.48848244547843933,,,,,,,18022400.0,14.630741119384766,,2167.304783932,,40.009361267089844,0.40204355120658875
,,,,,,,,,,,1765951779.7892535,0.4896267354488373,,,,,,,18841600.0,14.815715789794922,,2167.305863024,,40.751712799072266,0.3989340662956238
,,,,,,,,,,,1765951779.7904873,0.4905422329902649,,,,,,,19660800.0,14.902409553527832,,2167.306881936,,41.26053237915039,0.3958231508731842
,,,,,,,,,,,1765951779.7915187,0.49104148149490356,,,,,,,20480000.0,15.015080451965332,,2167.307864909,,41.88274383544922,0.3932150900363922
,,,,,,,,,,,1765951779.7925043,0.49247273802757263,,,,,,,21299200.0,15.056406021118164,,2167.308875279,,42.29643249511719,0.390320748090744
,,,,,,,,,,,1765951779.7935216,0.49377140402793884,,,,,,,22118400.0,15.184326171875,,2167.309912081,,42.91915512084961,0.3887384831905365
