Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/euclidean_distance/qvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/qvel,Validation Measures/euclidean_distance/site_rvel,Validation Info/Mean Episode Length,Validation Measures/discrete_frechet_distance/qvel,Validation Info/Mean Episode Return,_runtime,Validation Measures/euclidean_distance/site_rpos,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Measures/euclidean_distance/qpos,_step,Mean Episode Return,Validation Measures/discrete_frechet_distance/site_rvel,Agent Video,Validation Measures/discrete_frechet_distance/site_rpos,Mean Episode Length,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/qpos,_timestamp,Validation Measures/dynamic_time_warping/site_rpos
,,,,,,,,2221.579201161,,,,,819200.0,12.251378059387207,,,,28.62213897705078,,,1765205962.3093028,
,,,,,,,,2221.579797917,,,,,1638400.0,12.49053955078125,,,,29.291805267333984,,,1765205962.3106341,
,,,,,,,,2221.580285746,,,,,2457600.0,12.624464988708496,,,,29.633373260498047,,,1765205962.311216,
,,,,,,,,2221.580823456,,,,,3276800.0,12.88611888885498,,,,30.274843215942383,,,1765205962.311751,
,,,,,,,,2221.58131499,,,,,4096000.0,13.054012298583984,,,,30.751338958740234,,,1765205962.3122828,
,,,,,,,,2221.581824157,,,,,4915200.0,13.280900001525879,,,,31.589256286621094,,,1765205962.312785,
,,,,,,,,2221.582313956,,,,,5734400.0,13.50872802734375,,,,32.42128372192383,,,1765205962.3132968,
,,,,,,,,2221.582832384,,,,,6553600.0,13.795500755310059,,,,33.52800369262695,,,1765205962.3137848,
,,,,,,,,2221.583328825,,,,,7372800.0,14.233053207397461,,,,34.90302658081055,,,1765205962.3143058,
,,,,,,,,2221.583981768,,,,,8192000.0,14.555532455444336,,,,36.24690628051758,,,1765205962.3148034,
,,,,,,,,2221.584653265,,,,,9011200.0,14.90322208404541,,,,37.54235076904297,,,1765205962.3153539,
,,,,,,,,2221.585245575,,,,,9830400.0,15.123685836791992,,,,38.61371612548828,,,1765205962.316047,
,,,,,,,,2221.586182607,,,,,10649600.0,15.487632751464844,,,,39.92744064331055,,,1765205962.3167143,
,,,,,,,,2221.586690646,,,,,11468800.0,15.913620948791504,,,,41.14824676513672,,,1765205962.3173273,
,,,,,,,,2221.587189488,,,,,12288000.0,16.166059494018555,,,,41.94985580444336,,,1765205962.3181546,
222.03125,3.9270987510681152,1.3957372903823853,324.5202941894531,2.5831820964813232,39.38587188720703,12.669732093811035,16.17441177368164,2221.590984873,0.3567596971988678,99.3510513305664,3.012360095977783,0.4580709934234619,13107200.0,16.49093246459961,5.563648700714111,,0.8183019161224365,42.761600494384766,36.10981750488281,0.9490157961845398,1765205962.3210154,23.629228591918945
,,,,,,,,2221.591586414,,,,,13926400.0,16.80640411376953,,,,43.6309928894043,,,1765205962.3224201,
,,,,,,,,2221.592119912,,,,,14745600.0,17.141759872436523,,,,44.226558685302734,,,1765205962.3230236,
,,,,,,,,2221.59264998,,,,,15564800.0,17.406963348388672,,,,44.70326232910156,,,1765205962.3235703,
,,,,,,,,2221.593181657,,,,,16384000.0,17.873584747314453,,,,45.682186126708984,,,1765205962.3241053,
,,,,,,,,2221.593812017,,,,,17203200.0,18.20277214050293,,,,46.10890579223633,,,1765205962.3246255,
,,,,,,,,2221.594442209,,,,,18022400.0,18.640792846679688,,,,46.7568244934082,,,1765205962.3251722,
,,,,,,,,2221.595014486,,,,,18841600.0,19.058788299560547,,,,47.619361877441406,,,1765205962.3258579,
,,,,,,,,2221.595754818,,,,,19660800.0,19.220151901245117,,,,47.60363006591797,,,1765205962.3264403,
,,,,,,,,2221.596303764,,,,,20480000.0,19.740224838256836,,,,48.4044303894043,,,1765205962.3271804,
,,,,,,,,2221.596854659,,,,,21299200.0,20.290241241455078,,,,48.95640563964844,,,1765205962.3277433,
,,,,,,,,2221.597409146,,,,,22118400.0,20.611886978149414,,,,49.377830505371094,,,1765205962.328307,
,,,,,,,,2221.59802344,,,,,22937600.0,21.040979385375977,,,,49.82442855834961,,,1765205962.328853,
,,,,,,,,2221.598633221,,,,,23756800.0,21.354061126708984,,,,49.980159759521484,,,1765205962.3294382,
,,,,,,,,2221.59921108,,,,,24576000.0,21.808639526367188,,,,50.8616943359375,,,1765205962.330065,
,,,,,,,,2221.599789607,,,,,25395200.0,22.263219833374023,,,,51.344078063964844,,,1765205962.3306425,
208.15036010742188,3.6237728595733643,1.125084400177002,296.2847900390625,2.3964052200317383,44.91215896606445,11.741506576538086,20.208099365234375,2221.603012546,0.338605672121048,73.52251434326172,2.3297176361083984,0.45942747592926025,26214400.0,22.700641632080078,5.026986598968506,,0.7552343606948853,51.45498275756836,36.42185592651367,0.920900821685791,1765205962.3334181,22.845314025878906
,,,,,,,,2221.603575721,,,,,27033600.0,23.14487648010254,,,,52.32872009277344,,,1765205962.3344655,
,,,,,,,,2221.604118436,,,,,27852800.0,23.639867782592773,,,,52.79082489013672,,,1765205962.3350213,
,,,,,,,,2221.604670229,,,,,28672000.0,24.132888793945312,,,,53.29499435424805,,,1765205962.3355563,
,,,,,,,,2221.605215639,,,,,29491200.0,24.635658264160156,,,,53.93702697753906,,,1765205962.3361094,
,,,,,,,,2221.605779554,,,,,30310400.0,24.852447509765625,,,,53.92426681518555,,,1765205962.3366644,
,,,,,,,,2221.606313627,,,,,31129600.0,25.291475296020508,,,,54.39509201049805,,,1765205962.337215,
,,,,,,,,2221.606865057,,,,,31948800.0,25.37223243713379,,,,54.52724075317383,,,1765205962.3377619,
,,,,,,,,2221.607450573,,,,,32768000.0,26.132131576538086,,,,55.340431213378906,,,1765205962.338316,
,,,,,,,,2221.608069999,,,,,33587200.0,26.407066345214844,,,,55.14332962036133,,,1765205962.338861,
,,,,,,,,2221.608673032,,,,,34406400.0,27.087753295898438,,,,55.851192474365234,,,1765205962.3394945,
,,,,,,,,2221.609501668,,,,,35225600.0,27.39593505859375,,,,55.90890884399414,,,1765205962.3400924,
,,,,,,,,2221.610070825,,,,,36044800.0,27.632780075073242,,,,56.50368118286133,,,1765205962.3407779,
,,,,,,,,2221.6106405,,,,,36864000.0,28.093055725097656,,,,56.807533264160156,,,1765205962.341504,
,,,,,,,,2221.611172793,,,,,37683200.0,28.312578201293945,,,,57.09192657470703,,,1765205962.342086,
,,,,,,,,2221.611715768,,,,,38502400.0,28.591777801513672,,,,57.357872009277344,,,1765205962.3426228,
197.1453399658203,3.444380044937134,0.9750239253044128,279.7342224121094,2.3253021240234375,48.219696044921875,11.239521980285645,23.886119842529297,2221.614843054,0.340036004781723,61.04184341430664,2.037160634994507,0.4590299129486084,39321600.0,28.836952209472656,4.74611759185791,,0.7144831418991089,57.31523895263672,36.54487609863281,0.8900595903396606,1765205962.3452466,22.47698402404785
