Validation Measures/dynamic_time_warping/qpos,Validation Measures/dynamic_time_warping/site_rpos,Agent Video,Mean Episode Length,Validation Measures/euclidean_distance/qvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/site_rvel,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rpos,_step,Mean Episode Return,Validation Info/Mean Episode Length,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Info/Mean Episode Return,Validation Measures/dynamic_time_warping/site_rvel,_timestamp,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rpos,_runtime,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/qvel,Validation Measures/discrete_frechet_distance/site_rvel
,,,28.62462043762207,,,,,,819200.0,12.252776145935059,,,,,,1765268679.5489748,,,2223.950597202,,,
,,,29.33592414855957,,,,,,1638400.0,12.493241310119629,,,,,,1765268679.5504909,,,2223.951221565,,,
,,,29.720382690429688,,,,,,2457600.0,12.648422241210938,,,,,,1765268679.5514472,,,2223.951745405,,,
,,,30.32980728149414,,,,,,3276800.0,12.907793998718262,,,,,,1765268679.5519557,,,2223.952411251,,,
,,,30.864885330200195,,,,,,4096000.0,13.074673652648926,,,,,,1765268679.552435,,,2223.952945513,,,
,,,31.747037887573242,,,,,,4915200.0,13.349776268005371,,,,,,1765268679.5531716,,,2223.953623448,,,
,,,32.43815231323242,,,,,,5734400.0,13.49090576171875,,,,,,1765268679.5538027,,,2223.954293815,,,
,,,33.437843322753906,,,,,,6553600.0,13.791935920715332,,,,,,1765268679.5544193,,,2223.954946533,,,
,,,34.801700592041016,,,,,,7372800.0,14.194786071777344,,,,,,1765268679.5550802,,,2223.955551245,,,
,,,36.084877014160156,,,,,,8192000.0,14.535465240478516,,,,,,1765268679.555715,,,2223.956146159,,,
,,,37.07050704956055,,,,,,9011200.0,14.831367492675781,,,,,,1765268679.5563438,,,2223.95662292,,,
,,,38.25197982788086,,,,,,9830400.0,15.057836532592773,,,,,,1765268679.5568435,,,2223.95711036,,,
,,,39.63248062133789,,,,,,10649600.0,15.47335433959961,,,,,,1765268679.5573428,,,2223.957594268,,,
,,,40.86354446411133,,,,,,11468800.0,15.837111473083496,,,,,,1765268679.5578222,,,2223.958095255,,,
,,,41.565155029296875,,,,,,12288000.0,16.0770206451416,,,,,,1765268679.5583181,,,2223.958775919,,,
35.95729064941406,23.470006942749023,,42.66233825683594,3.9691953659057617,12.794562339782715,2.593735694885254,100.60813903808594,0.800685703754425,13107200.0,16.523881912231445,39.96858596801758,0.9461071491241455,3.0072004795074463,16.218952178955078,223.53733825683594,1765268679.5609877,0.4586528241634369,0.35634008049964905,2223.961703062,1.4349762201309204,327.65130615234375,5.625236511230469
,,,43.26397705078125,,,,,,13926400.0,16.75226402282715,,,,,,1765268679.561933,,,2223.962203735,,,
,,,44.18818664550781,,,,,,14745600.0,17.10725975036621,,,,,,1765268679.5624282,,,2223.962673222,,,
,,,44.600120544433594,,,,,,15564800.0,17.376537322998047,,,,,,1765268679.5629053,,,2223.963159709,,,
,,,45.35629653930664,,,,,,16384000.0,17.785120010375977,,,,,,1765268679.5633948,,,2223.963648672,,,
,,,45.82509231567383,,,,,,17203200.0,18.120359420776367,,,,,,1765268679.5638747,,,2223.964217111,,,
,,,46.151676177978516,,,,,,18022400.0,18.49463653564453,,,,,,1765268679.564366,,,2223.964817157,,,
,,,47.18873596191406,,,,,,18841600.0,18.953468322753906,,,,,,1765268679.5649877,,,2223.965359116,,,
,,,47.455665588378906,,,,,,19660800.0,19.258819580078125,,,,,,1765268679.5655437,,,2223.96597569,,,
,,,47.81511688232422,,,,,,20480000.0,19.515188217163086,,,,,,1765268679.5661287,,,2223.966454739,,,
,,,48.558860778808594,,,,,,21299200.0,20.181814193725586,,,,,,1765268679.5666816,,,2223.966951063,,,
,,,48.54022979736328,,,,,,22118400.0,20.44167137145996,,,,,,1765268679.567178,,,2223.96741341,,,
,,,49.069705963134766,,,,,,22937600.0,20.922025680541992,,,,,,1765268679.5676467,,,2223.967901978,,,
,,,49.74873733520508,,,,,,23756800.0,21.544361114501953,,,,,,1765268679.5681388,,,2223.968369575,,,
,,,49.94318771362305,,,,,,24576000.0,21.79853630065918,,,,,,1765268679.568602,,,2223.968857207,,,
,,,50.24690246582031,,,,,,25395200.0,22.226192474365234,,,,,,1765268679.5690923,,,2223.969335736,,,
35.94883346557617,23.23702621459961,,50.74752426147461,3.638826370239258,11.692138671875,2.3920609951019287,77.37052154541016,0.7701644897460938,26214400.0,22.69221305847168,44.42281723022461,0.9034714698791504,2.436922788619995,20.11826515197754,207.2564239501953,1765268679.5714228,0.45558416843414307,0.3444283902645111,2223.972077932,1.1686657667160034,297.539794921875,5.004014015197754
,,,51.347328186035156,,,,,,27033600.0,23.072254180908203,,,,,,1765268679.572312,,,2223.972564529,,,
,,,52.028724670410156,,,,,,27852800.0,23.664154052734375,,,,,,1765268679.5727954,,,2223.97303211,,,
,,,51.878238677978516,,,,,,28672000.0,23.96926498413086,,,,,,1765268679.573269,,,2223.973496354,,,
,,,52.93373489379883,,,,,,29491200.0,24.62109375,,,,,,1765268679.5737305,,,2223.973974778,,,
