Mean Episode Return,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/euclidean_distance/site_rvel,_runtime,Mean Episode Length,Validation Info/Mean Episode Length,Validation Info/Mean Episode Return,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/euclidean_distance/site_rpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rvel,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/qpos,Validation Measures/dynamic_time_warping/site_rvel,Agent Video,Validation Measures/euclidean_distance/qpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/discrete_frechet_distance/qpos,_timestamp,_step
12.255936622619629,,,2143.796460522,28.622053146362305,,,,,,,,,,,,,,,,,1764569828.6050808,819200.0
12.49735164642334,,,2143.797017535,29.324155807495117,,,,,,,,,,,,,,,,,1764569828.6065645,1638400.0
12.665082931518555,,,2143.797616957,29.742576599121094,,,,,,,,,,,,,,,,,1764569828.6073377,2457600.0
12.871166229248047,,,2143.798201328,30.263954162597656,,,,,,,,,,,,,,,,,1764569828.6079583,3276800.0
13.054959297180176,,,2143.798739356,30.791160583496094,,,,,,,,,,,,,,,,,1764569828.6085458,4096000.0
13.319120407104492,,,2143.79929954,31.6331729888916,,,,,,,,,,,,,,,,,1764569828.6091008,4915200.0
13.444531440734863,,,2143.799957907,32.241146087646484,,,,,,,,,,,,,,,,,1764569828.6096768,5734400.0
13.800739288330078,,,2143.800526506,33.53413772583008,,,,,,,,,,,,,,,,,1764569828.6102839,6553600.0
14.236044883728027,,,2143.801435626,34.902618408203125,,,,,,,,,,,,,,,,,1764569828.6108515,7372800.0
14.635648727416992,,,2143.801959878,36.31385803222656,,,,,,,,,,,,,,,,,1764569828.6118298,8192000.0
14.848294258117676,,,2143.802505381,37.23530197143555,,,,,,,,,,,,,,,,,1764569828.612354,9011200.0
15.124576568603516,,,2143.803035439,38.36870193481445,,,,,,,,,,,,,,,,,1764569828.6129034,9830400.0
15.567120552062988,,,2143.803547809,39.97785186767578,,,,,,,,,,,,,,,,,1764569828.6134331,10649600.0
15.826292037963867,,,2143.804080137,40.76449966430664,,,,,,,,,,,,,,,,,1764569828.613948,11468800.0
16.196565628051758,,,2143.804588229,41.7425537109375,,,,,,,,,,,,,,,,,1764569828.6144776,12288000.0
16.57901954650879,22.97797393798828,2.580575704574585,2143.807714831,42.607704162597656,39.88888931274414,16.25825309753418,0.7805216908454895,0.35023748874664307,12.616878509521484,99.93000793457031,5.579128265380859,3.0325927734375,3.92706298828125,36.08717346191406,221.56483459472656,,0.45764151215553284,324.3638916015625,1.3997793197631836,0.9435362815856934,1764569828.6170166,13107200.0
16.793729782104492,,,2143.808208712,43.316078186035156,,,,,,,,,,,,,,,,,1764569828.6180983,13926400.0
17.259042739868164,,,2143.808726958,44.21113586425781,,,,,,,,,,,,,,,,,1764569828.618614,14745600.0
17.481603622436523,,,2143.809209997,44.47751998901367,,,,,,,,,,,,,,,,,1764569828.6191227,15564800.0
17.785463333129883,,,2143.809708766,45.34059524536133,,,,,,,,,,,,,,,,,1764569828.619617,16384000.0
18.242094039916992,,,2143.810182406,45.90214920043945,,,,,,,,,,,,,,,,,1764569828.6201177,17203200.0
18.579570770263672,,,2143.810757835,46.341487884521484,,,,,,,,,,,,,,,,,1764569828.6205957,18022400.0
19.119524002075195,,,2143.811335036,47.263912200927734,,,,,,,,,,,,,,,,,1764569828.6210883,18841600.0
19.235258102416992,,,2143.811825843,47.158233642578125,,,,,,,,,,,,,,,,,1764569828.6217442,19660800.0
19.63877296447754,,,2143.812300481,47.551605224609375,,,,,,,,,,,,,,,,,1764569828.6222389,20480000.0
20.230392456054688,,,2143.812776225,48.39983367919922,,,,,,,,,,,,,,,,,1764569828.622709,21299200.0
20.627580642700195,,,2143.813279405,48.752037048339844,,,,,,,,,,,,,,,,,1764569828.6231856,22118400.0
20.99195098876953,,,2143.81376404,48.91250228881836,,,,,,,,,,,,,,,,,1764569828.6236916,22937600.0
21.5855770111084,,,2143.814266095,49.973297119140625,,,,,,,,,,,,,,,,,1764569828.6241736,23756800.0
21.8605899810791,,,2143.814747579,50.10097885131836,,,,,,,,,,,,,,,,,1764569828.6246803,24576000.0
22.2337703704834,,,2143.815245444,50.27644348144531,,,,,,,,,,,,,,,,,1764569828.6251583,25395200.0
22.66814422607422,21.91912078857422,2.4114468097686768,2143.818134127,50.823707580566406,44.5,20.02897834777832,0.7388065457344055,0.3315723240375519,11.70263957977295,77.13470458984375,5.054233074188232,2.4557366371154785,3.633981466293335,35.54598617553711,209.0415802001953,,0.45234864950180054,297.36041259765625,1.1709173917770386,0.8998211622238159,1764569828.6275249,26214400.0
23.169374465942383,,,2143.818625778,51.5971794128418,,,,,,,,,,,,,,,,,1764569828.6285186,27033600.0
23.73579216003418,,,2143.819132258,52.24950408935547,,,,,,,,,,,,,,,,,1764569828.629027,27852800.0
24.050893783569336,,,2143.819619083,52.79536056518555,,,,,,,,,,,,,,,,,1764569828.6295419,28672000.0
24.684206008911133,,,2143.820144377,53.10812759399414,,,,,,,,,,,,,,,,,1764569828.6300275,29491200.0
24.936925888061523,,,2143.820589035,53.52842330932617,,,,,,,,,,,,,,,,,1764569828.6305153,30310400.0
25.412418365478516,,,2143.821073276,53.92058563232422,,,,,,,,,,,,,,,,,1764569828.6309958,31129600.0
25.470659255981445,,,2143.821569599,54.078880310058594,,,,,,,,,,,,,,,,,1764569828.631483,31948800.0
26.34710693359375,,,2143.822043096,55.06879425048828,,,,,,,,,,,,,,,,,1764569828.631978,32768000.0
26.5931453704834,,,2143.82253844,54.99164962768555,,,,,,,,,,,,,,,,,1764569828.6324558,33587200.0
27.111129760742188,,,2143.823034644,55.32851028442383,,,,,,,,,,,,,,,,,1764569828.632945,34406400.0
27.59493637084961,,,2143.823543219,56.11024475097656,,,,,,,,,,,,,,,,,1764569828.6334496,35225600.0
27.560745239257812,,,2143.824272255,55.91361999511719,,,,,,,,,,,,,,,,,1764569828.6339195,36044800.0
27.99612808227539,,,2143.824897089,56.89945983886719,,,,,,,,,,,,,,,,,1764569828.634631,36864000.0
28.635757446289062,,,2143.825424172,57.041656494140625,,,,,,,,,,,,,,,,,1764569828.6352448,37683200.0
28.700298309326172,,,2143.826097528,56.96894454956055,,,,,,,,,,,,,,,,,1764569828.635821,38502400.0
28.797100067138672,20.979183197021484,2.3195998668670654,2143.829728499,57.20736312866211,46.53787612915039,23.547122955322266,0.6990124583244324,0.32210585474967957,11.293773651123047,60.459510803222656,4.833080768585205,2.095205783843994,3.5079803466796875,36.46894073486328,198.08421325683594,,0.45867231488227844,285.6337585449219,0.9549967646598816,0.8980284333229065,1764569828.6386924,39321600.0
29.441251754760742,,,2143.830392254,57.909236907958984,,,,,,,,,,,,,,,,,1764569828.639974,40140800.0
29.87622833251953,,,2143.831102357,58.27824401855469,,,,,,,,,,,,,,,,,1764569828.6407728,40960000.0
30.13356590270996,,,2143.831818842,58.11385726928711,,,,,,,,,,,,,,,,,1764569828.641488,41779200.0
30.60313606262207,,,2143.8323699,58.832515716552734,,,,,,,,,,,,,,,,,1764569828.642194,42598400.0
31.066909790039062,,,2143.832873286,59.29779815673828,,,,,,,,,,,,,,,,,1764569828.6427627,43417600.0
31.052791595458984,,,2143.833355772,59.654075622558594,,,,,,,,,,,,,,,,,1764569828.6432827,44236800.0
31.687870025634766,,,2143.833860091,60.168949127197266,,,,,,,,,,,,,,,,,1764569828.6437635,45056000.0
31.70013427734375,,,2143.834352014,59.902645111083984,,,,,,,,,,,,,,,,,1764569828.6442685,45875200.0
32.209651947021484,,,2143.834842951,60.70753479003906,,,,,,,,,,,,,,,,,1764569828.6447556,46694400.0
32.87648010253906,,,2143.835346489,60.955787658691406,,,,,,,,,,,,,,,,,1764569828.645248,47513600.0
33.19221115112305,,,2143.83584675,61.289024353027344,,,,,,,,,,,,,,,,,1764569828.6457472,48332800.0
33.52641296386719,,,2143.836325309,61.27129364013672,,,,,,,,,,,,,,,,,1764569828.6462524,49152000.0
33.95874786376953,,,2143.836836669,61.81903839111328,,,,,,,,,,,,,,,,,1764569828.6467338,49971200.0
33.82710647583008,,,2143.837366398,61.69132614135742,,,,,,,,,,,,,,,,,1764569828.6472375,50790400.0
34.45815658569336,,,2143.837915111,62.33552169799805,,,,,,,,,,,,,,,,,1764569828.6477537,51609600.0
