Validation Measures/dynamic_time_warping/qvel,Validation Measures/euclidean_distance/site_rvel,Agent Video,Validation Measures/euclidean_distance/qvel,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Measures/euclidean_distance/qpos,Validation Measures/discrete_frechet_distance/qpos,Validation Info/Mean Episode Return,Validation Measures/dynamic_time_warping/qpos,Validation Measures/dynamic_time_warping/site_rrotvec,_timestamp,_runtime,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/euclidean_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rvel,Mean Episode Return,Validation Measures/dynamic_time_warping/site_rpos,_step,Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/site_rvel,Mean Episode Length
,,,,,,,,,,,1765257112.9670997,2233.990074898,,,,,12.250692367553711,,819200.0,,,28.617033004760742
,,,,,,,,,,,1765257112.968229,2233.99063485,,,,,12.50206184387207,,1638400.0,,,29.354583740234375
,,,,,,,,,,,1765257112.968816,2233.991184815,,,,,12.621474266052246,,2457600.0,,,29.662242889404297
,,,,,,,,,,,1765257112.9693518,2233.99181912,,,,,12.877087593078613,,3276800.0,,,30.2335147857666
,,,,,,,,,,,1765257112.9699767,2233.99238622,,,,,13.07163143157959,,4096000.0,,,30.86360740661621
,,,,,,,,,,,1765257112.9705582,2233.99291008,,,,,13.364764213562012,,4915200.0,,,31.767494201660156
,,,,,,,,,,,1765257112.9710815,2233.993460033,,,,,13.5042085647583,,5734400.0,,,32.529850006103516
,,,,,,,,,,,1765257112.9716423,2233.993980861,,,,,13.820554733276367,,6553600.0,,,33.606056213378906
,,,,,,,,,,,1765257112.972157,2233.994498561,,,,,14.221096992492676,,7372800.0,,,34.93946075439453
,,,,,,,,,,,1765257112.9726803,2233.99504301,,,,,14.5781888961792,,8192000.0,,,36.397926330566406
,,,,,,,,,,,1765257112.9732168,2233.995573395,,,,,14.872194290161133,,9011200.0,,,37.60841751098633
,,,,,,,,,,,1765257112.973749,2233.996114282,,,,,15.167947769165039,,9830400.0,,,38.81463623046875
,,,,,,,,,,,1765257112.9742954,2233.996709325,,,,,15.536382675170898,,10649600.0,,,40.18990707397461
,,,,,,,,,,,1765257112.9748654,2233.997298885,,,,,15.822125434875488,,11468800.0,,,41.15707778930664
,,,,,,,,,,,1765257112.975455,2233.997869782,,,,,16.11528205871582,,12288000.0,,,41.809669494628906
