Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Info/Mean Episode Return,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/qpos,Agent Video,Validation Measures/discrete_frechet_distance/qvel,Mean Episode Return,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/euclidean_distance/qvel,Validation Measures/discrete_frechet_distance/site_rvel,_runtime,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/site_rvel,_timestamp,Validation Measures/dynamic_time_warping/qvel,Mean Episode Length,Validation Measures/euclidean_distance/qpos,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/euclidean_distance/site_rpos,Validation Measures/euclidean_distance/site_rvel,_step,Validation Info/Mean Episode Length
,,,,,,,12.254586219787598,,,,2220.068183863,,,1765264023.2890775,,28.63890266418457,,,,,819200.0,
,,,,,,,12.477190971374512,,,,2220.068755875,,,1765264023.2909653,,29.26298713684082,,,,,1638400.0,
,,,,,,,12.609039306640625,,,,2220.069251142,,,1765264023.2916322,,29.600008010864258,,,,,2457600.0,
,,,,,,,12.846508979797363,,,,2220.069747401,,,1765264023.2921367,,30.21397590637207,,,,,3276800.0,
,,,,,,,13.016117095947266,,,,2220.07025157,,,1765264023.292639,,30.651304244995117,,,,,4096000.0,
,,,,,,,13.244574546813965,,,,2220.070734499,,,1765264023.29314,,31.433624267578125,,,,,4915200.0,
,,,,,,,13.39836311340332,,,,2220.071249406,,,1765264023.293629,,32.05321502685547,,,,,5734400.0,
,,,,,,,13.662605285644531,,,,2220.071781019,,,1765264023.2941222,,32.98385238647461,,,,,6553600.0,
,,,,,,,14.102142333984375,,,,2220.072282217,,,1765264023.2946575,,34.29745101928711,,,,,7372800.0,
,,,,,,,14.38933277130127,,,,2220.072792587,,,1765264023.2951627,,35.49436950683594,,,,,8192000.0,
,,,,,,,14.697455406188965,,,,2220.073295051,,,1765264023.295675,,36.625877380371094,,,,,9011200.0,
,,,,,,,15.06950855255127,,,,2220.073803346,,,1765264023.2961779,,38.049407958984375,,,,,9830400.0,
,,,,,,,15.416196823120117,,,,2220.074279171,,,1765264023.2966976,,39.37898254394531,,,,,10649600.0,
,,,,,,,15.79843521118164,,,,2220.074784331,,,1765264023.2971709,,40.476593017578125,,,,,11468800.0,
,,,,,,,16.014741897583008,,,,2220.075256708,,,1765264023.2976768,,41.107826232910156,,,,,12288000.0,
22.884368896484375,3.003514051437378,16.404739379882812,35.82686996459961,0.9503932595252991,,12.76086139678955,16.40797233581543,97.89437103271484,3.9560539722442627,5.486701488494873,2220.078094789,1.3875991106033325,221.94113159179688,1765264023.3000116,326.8152770996094,42.04670715332031,0.45564937591552734,0.7615072727203369,0.34823259711265564,2.5798418521881104,13107200.0,39.5235595703125
,,,,,,,16.749820709228516,,,,2220.078593669,,,1765264023.3009899,,43.086814880371094,,,,,13926400.0,
,,,,,,,17.06073570251465,,,,2220.079094304,,,1765264023.3014743,,43.398681640625,,,,,14745600.0,
,,,,,,,17.42587661743164,,,,2220.079545378,,,1765264023.3019693,,44.399044036865234,,,,,15564800.0,
,,,,,,,17.71119499206543,,,,2220.080016394,,,1765264023.3024426,,44.911598205566406,,,,,16384000.0,
,,,,,,,18.204456329345703,,,,2220.080488335,,,1765264023.3029191,,45.65375900268555,,,,,17203200.0,
,,,,,,,18.529203414916992,,,,2220.080993209,,,1765264023.3033917,,46.21596145629883,,,,,18022400.0,
,,,,,,,18.90859031677246,,,,2220.081772586,,,1765264023.3038828,,47.04039764404297,,,,,18841600.0,
,,,,,,,19.18634605407715,,,,2220.082401642,,,1765264023.3044062,,47.0407829284668,,,,,19660800.0,
,,,,,,,19.796953201293945,,,,2220.082951613,,,1765264023.305266,,48.03936004638672,,,,,20480000.0,
,,,,,,,20.25276756286621,,,,2220.083511076,,,1765264023.305833,,48.30642318725586,,,,,21299200.0,
,,,,,,,20.564498901367188,,,,2220.084013683,,,1765264023.3063674,,48.412567138671875,,,,,22118400.0,
,,,,,,,20.911266326904297,,,,2220.084568343,,,1765264023.3068995,,48.862464904785156,,,,,22937600.0,
,,,,,,,21.518310546875,,,,2220.085044101,,,1765264023.3074582,,49.464481353759766,,,,,23756800.0,
,,,,,,,21.81083869934082,,,,2220.085536327,,,1765264023.3079467,,49.907867431640625,,,,,24576000.0,
,,,,,,,22.142473220825195,,,,2220.086018125,,,1765264023.308438,,49.99447250366211,,,,,25395200.0,
22.055126190185547,2.2718663215637207,19.974761962890625,35.79301452636719,0.9054938554763794,,11.743060111999512,22.730695724487305,71.7084732055664,3.624432325363159,5.094875335693359,2220.088849387,1.11201012134552,204.86373901367188,1765264023.3108218,296.9874267578125,50.80637741088867,0.4548203647136688,0.7395839691162109,0.3322579860687256,2.3813557624816895,26214400.0,44.078948974609375
,,,,,,,23.094152450561523,,,,2220.089411325,,,1765264023.3117368,,51.17634201049805,,,,,27033600.0,
,,,,,,,23.73702621459961,,,,2220.089928181,,,1765264023.3123057,,51.81623840332031,,,,,27852800.0,
,,,,,,,24.154401779174805,,,,2220.090416515,,,1765264023.3128223,,52.24057388305664,,,,,28672000.0,
,,,,,,,24.60589027404785,,,,2220.090921459,,,1765264023.3133173,,52.549110412597656,,,,,29491200.0,
,,,,,,,24.9053955078125,,,,2220.091767591,,,1765264023.313793,,52.831974029541016,,,,,30310400.0,
,,,,,,,24.972665786743164,,,,2220.092272528,,,1765264023.3145359,,53.039329528808594,,,,,31129600.0,
,,,,,,,25.923969268798828,,,,2220.092832642,,,1765264023.3151622,,53.83509063720703,,,,,31948800.0,
,,,,,,,26.035249710083008,,,,2220.093856514,,,1765264023.315717,,53.906578063964844,,,,,32768000.0,
,,,,,,,26.60552978515625,,,,2220.094714242,,,1765264023.3162625,,54.3359375,,,,,33587200.0,
