Validation Measures/discrete_frechet_distance/qvel,Validation Measures/euclidean_distance/site_rrotvec,Mean Episode Return,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rpos,_timestamp,Validation Measures/discrete_frechet_distance/qpos,_step,Validation Measures/discrete_frechet_distance/site_rrotvec,Agent Video,Validation Measures/euclidean_distance/qpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/euclidean_distance/site_rvel,Mean Episode Length,Validation Info/Mean Episode Length,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,Validation Info/Mean Episode Return,Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/discrete_frechet_distance/site_rpos,Validation Measures/dynamic_time_warping/qpos,_runtime,Validation Measures/euclidean_distance/site_rpos
,,12.254392623901367,,,1765201370.4326828,,819200.0,,,,,,28.62128448486328,,,,,,,,2228.800611336,
,,12.49825668334961,,,1765201370.434142,,1638400.0,,,,,,29.3402099609375,,,,,,,,2228.801423049,
,,12.618514060974121,,,1765201370.4350986,,2457600.0,,,,,,29.6486759185791,,,,,,,,2228.802137901,
,,12.827418327331543,,,1765201370.435842,,3276800.0,,,,,,30.139469146728516,,,,,,,,2228.802837419,
,,13.037103652954102,,,1765201370.4365296,,4096000.0,,,,,,30.705615997314453,,,,,,,,2228.803629716,
,,13.289327621459961,,,1765201370.437218,,4915200.0,,,,,,31.557819366455078,,,,,,,,2228.804642624,
,,13.408915519714355,,,1765201370.4382274,,5734400.0,,,,,,32.130088806152344,,,,,,,,2228.805519606,
,,13.71138858795166,,,1765201370.43915,,6553600.0,,,,,,33.11720275878906,,,,,,,,2228.806350902,
,,14.142470359802246,,,1765201370.4399958,,7372800.0,,,,,,34.43510055541992,,,,,,,,2228.807347151,
,,14.488577842712402,,,1765201370.440952,,8192000.0,,,,,,35.727867126464844,,,,,,,,2228.808163167,
,,14.802215576171875,,,1765201370.4418094,,9011200.0,,,,,,36.88228988647461,,,,,,,,2228.808977151,
,,15.070939064025879,,,1765201370.4426324,,9830400.0,,,,,,38.118160247802734,,,,,,,,2228.810168744,
,,15.471353530883789,,,1765201370.4435515,,10649600.0,,,,,,39.483497619628906,,,,,,,,2228.810589504,
,,15.868526458740234,,,1765201370.4443202,,11468800.0,,,,,,40.73020935058594,,,,,,,,2228.811078381,
,,16.109663009643555,,,1765201370.4447973,,12288000.0,,,,,,41.2901725769043,,,,,,,,2228.811584539,
12.598716735839844,1.3843533992767334,16.519962310791016,3.931075096130371,22.88730812072754,1765201370.447243,0.9457930326461792,13107200.0,2.948435068130493,,0.4531358480453491,324.7451477050781,2.5857620239257812,42.34419631958008,39.4361686706543,222.5840606689453,5.568685054779053,16.321779251098633,98.68841552734375,0.7880909442901611,35.7109375,2228.814476134,0.34664931893348694
,,16.80293083190918,,,1765201370.4481964,,13926400.0,,,,,,43.09587478637695,,,,,,,,2228.815040457,
,,17.165542602539062,,,1765201370.448735,,14745600.0,,,,,,43.825355529785156,,,,,,,,2228.815606286,
,,17.455860137939453,,,1765201370.449288,,15564800.0,,,,,,44.3931770324707,,,,,,,,2228.816196217,
,,17.739276885986328,,,1765201370.4498675,,16384000.0,,,,,,44.91866683959961,,,,,,,,2228.816767873,
,,18.321348190307617,,,1765201370.45046,,17203200.0,,,,,,45.69108200073242,,,,,,,,2228.817317348,
,,18.62531280517578,,,1765201370.4510138,,18022400.0,,,,,,46.197364807128906,,,,,,,,2228.817857837,
,,19.01099395751953,,,1765201370.4515545,,18841600.0,,,,,,46.790802001953125,,,,,,,,2228.818409143,
,,19.313730239868164,,,1765201370.4521065,,19660800.0,,,,,,47.22929763793945,,,,,,,,2228.818934017,
,,19.756685256958008,,,1765201370.4526312,,20480000.0,,,,,,47.76079177856445,,,,,,,,2228.819697663,
,,20.21697425842285,,,1765201370.4533286,,21299200.0,,,,,,48.275753021240234,,,,,,,,2228.820260232,
,,20.696826934814453,,,1765201370.4539492,,22118400.0,,,,,,48.69734573364258,,,,,,,,2228.820812793,
,,21.035818099975586,,,1765201370.4545007,,22937600.0,,,,,,48.91020965576172,,,,,,,,2228.821355358,
,,21.705219268798828,,,1765201370.4550517,,23756800.0,,,,,,49.703792572021484,,,,,,,,2228.821923073,
,,21.78599739074707,,,1765201370.4556208,,24576000.0,,,,,,50.04027557373047,,,,,,,,2228.822445082,
,,22.291418075561523,,,1765201370.4561427,,25395200.0,,,,,,50.16867446899414,,,,,,,,2228.823066343,
11.691474914550781,1.118072271347046,22.65251922607422,3.6268091201782227,22.2301025390625,1765201370.4589202,0.8904927968978882,26214400.0,2.338406562805176,,0.4521265923976898,296.61285400390625,2.3980398178100586,50.73440170288086,44.49367141723633,207.75376892089844,5.100807189941406,20.072824478149414,73.07890319824219,0.7459659576416016,35.541446685791016,2228.826468603,0.335287481546402
,,23.166248321533203,,,1765201370.4601464,,27033600.0,,,,,,51.58796691894531,,,,,,,,2228.827094115,
,,23.74873161315918,,,1765201370.4607563,,27852800.0,,,,,,52.07917022705078,,,,,,,,2228.827677964,
,,24.137853622436523,,,1765201370.4613802,,28672000.0,,,,,,52.41654968261719,,,,,,,,2228.828225799,
,,24.77792739868164,,,1765201370.4619277,,29491200.0,,,,,,53.20183181762695,,,,,,,,2228.828771965,
,,24.894794464111328,,,1765201370.4624703,,30310400.0,,,,,,53.04240036010742,,,,,,,,2228.829346819,
