Validation Measures/dynamic_time_warping/site_rrotvec,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rrotvec,Validation Measures/dynamic_time_warping/site_rpos,Validation Info/Mean Episode Length,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rvel,Validation Measures/discrete_frechet_distance/site_rrotvec,_timestamp,Mean Episode Length,Validation Measures/discrete_frechet_distance/site_rpos,_step,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/dynamic_time_warping/qvel,Validation Measures/euclidean_distance/site_rvel,_runtime,Agent Video,Mean Episode Return,Validation Measures/euclidean_distance/site_rpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/qpos
,,,,,,,,,,1765199048.4827623,28.625776290893555,,819200.0,,,,2189.395318651,,12.251956939697266,,,
,,,,,,,,,,1765199048.4841707,29.38149070739746,,1638400.0,,,,2189.396397106,,12.51601505279541,,,
,,,,,,,,,,1765199048.4851007,29.69929313659668,,2457600.0,,,,2189.396980938,,12.649272918701172,,,
,,,,,,,,,,1765199048.4860473,30.292865753173828,,3276800.0,,,,2189.397551686,,12.909908294677734,,,
,,,,,,,,,,1765199048.4866276,30.849931716918945,,4096000.0,,,,2189.398107868,,13.076796531677246,,,
,,,,,,,,,,1765199048.487206,31.63541603088379,,4915200.0,,,,2189.398653387,,13.317405700683594,,,
,,,,,,,,,,1765199048.487748,32.33461380004883,,5734400.0,,,,2189.399191357,,13.49429988861084,,,
,,,,,,,,,,1765199048.488307,33.436317443847656,,6553600.0,,,,2189.399814495,,13.78231430053711,,,
,,,,,,,,,,1765199048.4889102,34.704811096191406,,7372800.0,,,,2189.400531689,,14.217033386230469,,,
,,,,,,,,,,1765199048.4895823,36.10497283935547,,8192000.0,,,,2189.401220548,,14.547545433044434,,,
,,,,,,,,,,1765199048.4902635,37.37437057495117,,9011200.0,,,,2189.401882254,,14.867356300354004,,,
,,,,,,,,,,1765199048.4909344,38.41617202758789,,9830400.0,,,,2189.402559282,,15.127381324768066,,,
,,,,,,,,,,1765199048.491598,39.62375259399414,,10649600.0,,,,2189.403216847,,15.467621803283691,,,
,,,,,,,,,,1765199048.4922674,40.92905044555664,,11468800.0,,,,2189.403903094,,15.886470794677734,,,
