Agent Video,Validation Measures/euclidean_distance/qpos,Validation Measures/euclidean_distance/site_rpos,Validation Measures/discrete_frechet_distance/site_rrotvec,Validation Measures/dynamic_time_warping/site_rrotvec,_step,Validation Info/Mean Episode Return,Validation Measures/euclidean_distance/qvel,Validation Measures/dynamic_time_warping/site_rpos,Validation Measures/euclidean_distance/site_rvel,Mean Episode Length,Validation Measures/dynamic_time_warping/qpos,Validation Measures/discrete_frechet_distance/qvel,Validation Measures/dynamic_time_warping/site_rvel,Validation Measures/discrete_frechet_distance/site_rpos,Mean Episode Return,Validation Measures/dynamic_time_warping/qvel,Validation Measures/discrete_frechet_distance/site_rvel,Validation Measures/discrete_frechet_distance/qpos,Validation Measures/euclidean_distance/site_rrotvec,Validation Info/Mean Episode Length,_runtime,_timestamp
,,,,,819200.0,,,,,28.612863540649414,,,,,12.2529878616333,,,,,,2218.225191737,1764572129.9823565
,,,,,1638400.0,,,,,29.324321746826172,,,,,12.487555503845215,,,,,,2218.225728105,1764572129.9838035
,,,,,2457600.0,,,,,29.628772735595703,,,,,12.631555557250977,,,,,,2218.226411675,1764572129.9846325
,,,,,3276800.0,,,,,30.151275634765625,,,,,12.842984199523926,,,,,,2218.227010007,1764572129.9852254
,,,,,4096000.0,,,,,30.712337493896484,,,,,13.031815528869629,,,,,,2218.22759202,1764572129.9859166
,,,,,4915200.0,,,,,31.57420539855957,,,,,13.279243469238281,,,,,,2218.228390118,1764572129.9864717
,,,,,5734400.0,,,,,32.09006881713867,,,,,13.406229972839355,,,,,,2218.229760671,1764572129.987245
,,,,,6553600.0,,,,,33.03148651123047,,,,,13.697722434997559,,,,,,2218.230646859,1764572129.9885476
,,,,,7372800.0,,,,,34.366310119628906,,,,,14.091241836547852,,,,,,2218.231478333,1764572129.98949
,,,,,8192000.0,,,,,35.83538818359375,,,,,14.49541187286377,,,,,,2218.232581401,1764572129.9903355
,,,,,9011200.0,,,,,36.79725646972656,,,,,14.789078712463379,,,,,,2218.233467094,1764572129.9914372
,,,,,9830400.0,,,,,38.18619918823242,,,,,15.065235137939453,,,,,,2218.234004739,1764572129.9923344
,,,,,10649600.0,,,,,39.49604034423828,,,,,15.480813980102539,,,,,,2218.234515163,1764572129.9929311
,,,,,11468800.0,,,,,40.499183654785156,,,,,15.7843017578125,,,,,,2218.234994342,1764572129.9934433
,,,,,12288000.0,,,,,41.15067672729492,,,,,16.067031860351562,,,,,,2218.235478488,1764572129.9939237
,0.4584117829799652,0.3528975546360016,2.977912425994873,99.06620025634766,13107200.0,16.440650939941406,3.953901767730713,23.12044906616211,2.600757122039795,42.24092102050781,35.96330642700195,12.606804847717285,224.214599609375,0.8006560802459717,16.482309341430664,326.0377197265625,5.65565299987793,0.9417856931686401,1.402811050415039,39.968082427978516,2218.238608367,1764572129.9963138
,,,,,13926400.0,,,,,43.02128601074219,,,,,16.724943161010742,,,,,,2218.239440858,1764572129.997477
,,,,,14745600.0,,,,,43.75499725341797,,,,,17.12962532043457,,,,,,2218.240011674,1764572129.9983516
,,,,,15564800.0,,,,,44.353851318359375,,,,,17.386903762817383,,,,,,2218.240587615,1764572129.9988952
,,,,,16384000.0,,,,,44.9687385559082,,,,,17.755992889404297,,,,,,2218.241145345,1764572129.9994555
